geo_loc_name,n,lat,lon,
"Ethiopia: Tigray, West Tigray",4,N 13¡ 51_ 24'',E 37¡ 6_ 25'',1399
France,3,N 46¡ 0_ 0'',E 2¡ 0_ 0'',1482
France: Saint Malo,4,N 48¡ 38_ 50'',W 2¡ 0_ 31'',1403
France: Vosges mountain,4,,,1407
Germany,9,N 51¡ 30_ 0'',E 10¡ 30_ 0'',1230
Germany: North Sea,2,N 55¡ 20_ 0'',E 3¡ 0_ 0'',1579
Germany: River Elbe downstream from Hamburg habour,2,,,1581
Germany: St. Peter Ording,1,N 54¡ 18_ 13'',E 8¡ 38_ 29'',1657
Greece,19,N 39¡ 0_ 0'',E 22¡ 0_ 0'',1067
Hong Kong: Chek Chau,68,N 22¡ 30_ 0'',E 114¡ 21_ 31'',866
Hong Kong: Kiu Tsui Chau,21,N 22¡ 21_ 53'',E 114¡ 17_ 38'',1048
Hong Kong: Ngo Mei Chau,261,N 22¡ 31_ 37'',E 114¡ 18_ 57'',798
Hong Kong: Wong Wan Chau,537,N 22¡ 30_ 47'',E 114¡ 18_ 39'',537
India,2,N 22¡ 0_ 0'',E 79¡ 0_ 0'',1583
"India: Kakinada, Andhra",2,N 17¡ 7_ 8'',E 82¡ 11_ 24'',1585
India: Lalkaun Village Uttarakhand,1,N 30¡ 15_ 0'',E 79¡ 15_ 0'',1658
India: Odisha,2,N 20¡ 30_ 0'',E 84¡ 25_ 0'',1587
India:Palampur,2,N 32¡ 9_ 28'',E 76¡ 31_ 46'',1589
Indian Ocean,10,S 10¡ 0_ 0'',E 70¡ 0_ 0'',1221
Indian Ocean: Eastern Africa Coastal Province,2,,,1591
Iran: East Azerbaijan,1,N 38¡ 0_ 0'',E 46¡ 45_ 0'',1659
Iran: Salmas,1,N 38¡ 11_ 50'',E 44¡ 45_ 55'',1660
Iran: Shiraz,1,N 29¡ 36_ 37'',E 52¡ 31_ 52'',1661
Ireland,1,N 53¡ 0_ 0'',W 8¡ 0_ 0'',1662
Ireland: Lough Hyne,25,N 51¡ 30_ 3'',W 9¡ 18_ 15'',1003
Japan,1,N 35¡ 41_ 7'',E 139¡ 45_ 11'',1663
