mass_feature,retention_time,mz,z,sample_fraction
Citrulline,11.8564,176.103517,1,Dissolved
Citrulline,11.736341463414634,176.103517,1,Particulate
Creatine,10.964583333333334,132.077302,1,Dissolved
Creatine,11.293243243243243,132.077302,1,Particulate
Creatinine,5.068478260869565,114.066737,1,Dissolved
Creatinine,5.7254054054054055,114.066737,1,Particulate
"Cys-Gly, oxidized",10.877142857142857,355.074605,1,Dissolved
"Cys-Gly, oxidized",11.0434375,355.074605,1,Particulate
Cytidine,8.398,244.093347,1,Dissolved
Cytidine,8.232222222222223,244.093347,1,Particulate
Cytosine,7.052173913043478,112.051087,1,Dissolved
Cytosine,7.006410256410256,112.051087,1,Particulate
"Cytosine, 13C2, 15N3",7.032391304347826,117.0489,1,Dissolved
"Cytosine, 13C2, 15N3",7.068648648648648,117.0489,1,Particulate
D-Fructose 6-phosphate,12.746,259.021897,-1,Dissolved
D-Fructose 6-phosphate,12.804473684210526,259.021897,-1,Particulate
D-Gluconic acid,10.256304347826086,195.05048,-1,Dissolved
D-Gluconic acid,10.554358974358975,195.05048,-1,Particulate
D-Glucose 1-phosphate,12.705555555555556,259.021897,-1,Dissolved
D-Glucose 1-phosphate,12.794210526315789,259.021897,-1,Particulate
D-Glucose 6-phosphate,13.4575,259.021897,-1,Dissolved
D-Glucose 6-phosphate,13.406842105263157,259.021897,-1,Particulate
D-Ribose 5-phosphate,11.15913043478261,229.011333,-1,Dissolved
D-Ribose 5-phosphate,12.554444444444444,229.011333,-1,Particulate
"DL-Alanine, 2H3",10.712391304347825,NA,1,Dissolved
"DL-Alanine, 2H3",10.676216216216217,NA,1,Particulate
"DL-Histidine, 15N",10.877916666666668,NA,1,Dissolved
"DL-Histidine, 15N",10.693333333333333,NA,1,Particulate
"DL-Proline, 2H7",9.055,NA,1,Dissolved
"DL-Proline, 2H7",9.083783783783783,NA,1,Particulate
"DL-Valine, 2H8",8.312391304347827,NA,1,Dissolved
"DL-Valine, 2H8",8.402432432432432,NA,1,Particulate
Deoxyadenosine,3.2161290322580647,252.109665,1,Dissolved
Deoxyadenosine,3.644615384615385,252.109665,1,Particulate
Dihydroxyacetone phosphate,12.718125,168.990203,-1,Dissolved
Dihydroxyacetone phosphate,12.240540540540541,168.990203,-1,Particulate
Dimethylglycine,8.414,104.071154,1,Dissolved
Dimethylglycine,8.295365853658536,104.071154,1,Particulate
Dimethylsulfonioacetate,8.514186046511627,121.032327,1,Dissolved
Dimethylsulfonioacetate,8.517142857142858,121.032327,1,Particulate
Dimethylsulfoniopropionate,9.708484848484849,135.047977,1,Dissolved
Dimethylsulfoniopropionate,9.780625,135.047977,1,Particulate
Ectoine,9.472,143.082053,1,Dissolved
Ectoine,9.476585365853659,143.082053,1,Particulate
Ergothioneine,11.257575757575758,230.096324,1,Dissolved
Ergothioneine,10.9725,230.096324,1,Particulate
Ethanesulfonic acid,3.703913043478261,108.995942,-1,Dissolved
Ethanesulfonic acid,3.9673333333333334,108.995942,-1,Particulate
Ethanolamine,14.601521739130435,62.060589,1,Dissolved
Ethanolamine,14.26,62.060589,1,Particulate
Ethyl dihydroxybenzoate,2.1193478260869565,181.050085,-1,Dissolved
Ethyl dihydroxybenzoate,2.0055882352941174,181.050085,-1,Particulate
Flavin adenine dinucleotide,8.458,784.149317,-1,Dissolved
Flavin adenine dinucleotide,8.986,784.149317,-1,Particulate
Fumaric acid,12.6432,115.003135,-1,Dissolved
Fumaric acid,12.670243902439024,115.003135,-1,Particulate
"GMP, 15N5",14.301666666666666,NA,-1,Dissolved
"GMP, 15N5",13.358235294117646,NA,-1,Particulate
Glucosamine,10.157391304347826,180.087199,1,Dissolved
Glucosamine,10.47974358974359,180.087199,1,Particulate
Glutamylphenylalanine,9.205277777777777,295.129398,1,Dissolved
Glutamylphenylalanine,8.658846153846154,295.129398,1,Particulate
Glutathione,11.1225,308.091634,1,Dissolved
Glutathione,11.472222222222221,308.091634,1,Particulate
Glutathione disulfide,14.035,613.159793,1,Dissolved
Glutathione disulfide,13.994736842105263,613.159793,1,Particulate
Glycerophosphocholine,11.024222222222223,258.110652,1,Dissolved
Glycerophosphocholine,10.929354838709678,258.110652,1,Particulate
Glycerophosphoric acid,12.4425,171.005853,-1,Dissolved
Glycerophosphoric acid,11.953888888888889,171.005853,-1,Particulate
Glycine,11.511521739130435,76.039854,1,Dissolved
Glycine,11.424615384615384,76.039854,1,Particulate
Glycine betaine,7.42875,118.086804,1,Dissolved
Glycine betaine,7.518974358974359,118.086804,1,Particulate
"Glycine betaine, 13C5, 15N",7.428913043478261,124.1006,1,Dissolved
"Glycine betaine, 13C5, 15N",7.473243243243243,124.1006,1,Particulate
Gonyol,10.804782608695652,179.074191,1,Dissolved
Gonyol,10.694411764705881,179.074191,1,Particulate
Guanine,8.369375,152.057235,1,Dissolved
Guanine,8.42609756097561,152.057235,1,Particulate
"Guanine, 13C, 15N2",8.371304347826086,155.0547,1,Dissolved
"Guanine, 13C, 15N2",8.436216216216216,155.0547,1,Particulate
Guanosine,8.994285714285715,284.099495,1,Dissolved
Guanosine,9.14638888888889,284.099495,1,Particulate
Guanosine monophosphate,13.627142857142857,362.050178,-1,Dissolved
Guanosine monophosphate,13.346,362.050178,-1,Particulate
Guanosine triphosphate,15.82,521.982844,-1,Dissolved
Guanosine triphosphate,15.96125,521.982844,-1,Particulate
Homarine,5.60375,138.055503,1,Dissolved
Homarine,5.65051282051282,138.055503,1,Particulate
"Homarine, 2H3",5.604347826086957,141.0743,1,Dissolved
"Homarine, 2H3",5.662162162162162,141.0743,1,Particulate
Homocysteine thiolactone,2.3440000000000003,118.032661,1,Dissolved
Homocysteine thiolactone,2.6816666666666666,118.032661,1,Particulate
Hordenine,3.335,166.123189,1,Dissolved
Hordenine,3.401891891891892,166.123189,1,Particulate
Hydroxyisoleucine,8.340208333333333,148.097369,1,Dissolved
Hydroxyisoleucine,8.403783783783783,148.097369,1,Particulate
Hydroxyproline,10.6328,132.066069,1,Dissolved
Hydroxyproline,10.611515151515151,132.066069,1,Particulate
Hypotaurine,11.105714285714285,110.027576,1,Dissolved
Hypotaurine,10.624,110.027576,1,Particulate
Hypoxanthine,6.588863636363636,137.046336,1,Dissolved
Hypoxanthine,6.345121951219512,137.046336,1,Particulate
Inosine,7.5344444444444445,267.072946,-1,Dissolved
Inosine,7.668888888888889,267.072946,-1,Particulate
Isethionic acid,6.749347826086956,124.990857,-1,Dissolved
Isethionic acid,6.63974358974359,124.990857,-1,Particulate
"Isethionic acid, 13C2",7.41,126.9981,-1,Dissolved
"Isethionic acid, 13C2",6.664324324324324,126.9981,-1,Particulate
Isocitric acid,15.419090909090908,191.01918,-1,Dissolved
Isocitric acid,14.492926829268292,191.01918,-1,Particulate
L-Alanine,10.679,90.055504,1,Dissolved
L-Alanine,10.64,90.055504,1,Particulate
L-Arginine,19.674130434782608,175.119501,1,Dissolved
L-Arginine,18.96891891891892,175.119501,1,Particulate
L-Arginosuccinic acid,13.205,291.13046,1,Dissolved
L-Arginosuccinic acid,13.131388888888889,291.13046,1,Particulate
L-Asparagine,10.760217391304348,133.061318,1,Dissolved
L-Asparagine,10.649117647058823,133.061318,1,Particulate
L-Aspartic acid,11.626739130434782,134.045334,1,Dissolved
L-Aspartic acid,11.692564102564102,134.045334,1,Particulate
L-Cystathionine,12.795714285714286,223.075255,1,Dissolved
L-Cystathionine,12.431612903225806,223.075255,1,Particulate
L-Cysteic acid,12.004,167.996671,-1,Dissolved
L-Cysteic acid,12.147941176470589,167.996671,-1,Particulate
"L-Cysteic acid, 2H3",12.052391304347825,171.0161,-1,Dissolved
"L-Cysteic acid, 2H3",12.147297297297298,171.0161,-1,Particulate
L-Cysteinesulfinic acid,10.818333333333333,152.001756,-1,Dissolved
L-Cysteinesulfinic acid,10.998750000000001,152.001756,-1,Particulate
L-Cystine,12.619565217391305,241.031677,1,Dissolved
L-Cystine,11.817567567567568,241.031677,1,Particulate
L-Glutamic acid,11.320625,148.060984,1,Dissolved
L-Glutamic acid,11.39051282051282,148.060984,1,Particulate
L-Glutamine,10.828958333333333,147.076968,1,Dissolved
L-Glutamine,10.754102564102563,147.076968,1,Particulate
L-Histidine,10.858,156.077302,1,Dissolved
L-Histidine,10.715853658536586,156.077302,1,Particulate
L-Homocystine,12.028214285714286,269.062977,1,Dissolved
L-Homocystine,11.701538461538462,269.062977,1,Particulate
L-Homoserine,10.94875,120.066069,1,Dissolved
L-Homoserine,10.786923076923078,120.066069,1,Particulate
L-Hydroxylysine,16.5225,163.108268,1,Dissolved
L-Hydroxylysine,16.655714285714286,163.108268,1,Particulate
L-Isoleucine,7.0147916666666665,132.102454,1,Dissolved
L-Isoleucine,6.644871794871795,132.102454,1,Particulate
"L-Isoleucine, 15N",7.185652173913043,133.0989,1,Dissolved
"L-Isoleucine, 15N",7.125135135135135,133.0989,1,Particulate
L-Leucine,6.998541666666667,132.102454,1,Dissolved
L-Leucine,6.658974358974359,132.102454,1,Particulate
L-Lysine,17.837272727272726,147.113353,1,Dissolved
L-Lysine,18.184146341463414,147.113353,1,Particulate
L-Methionine,6.8575,150.058876,1,Dissolved
L-Methionine,6.917368421052632,150.058876,1,Particulate
L-Methionine S-oxide,8.959782608695653,166.053791,1,Dissolved
L-Methionine S-oxide,9.1659375,166.053791,1,Particulate
"L-Methionine, 2H3",7.8648,153.0771,1,Dissolved
"L-Methionine, 2H3",6.96,153.0771,1,Particulate
L-Ornithine,16.746,133.097703,1,Dissolved
L-Ornithine,16.070243902439024,133.097703,1,Particulate
L-Proline,9.0236,116.071154,1,Dissolved
L-Proline,9.041538461538462,116.071154,1,Particulate
L-Serine,11.251875,106.050419,1,Dissolved
L-Serine,11.126153846153846,106.050419,1,Particulate
L-Threonine,9.8925,120.066069,1,Dissolved
L-Threonine,9.921282051282052,120.066069,1,Particulate
L-Tyrosine,8.728222222222222,182.081719,1,Dissolved
L-Tyrosine,8.965384615384615,182.081719,1,Particulate
L-Valine,8.234375,118.086804,1,Dissolved
L-Valine,8.35051282051282,118.086804,1,Particulate
Lipoic acid,2.0909999999999997,205.035699,-1,Dissolved
Lipoic acid,1.8875,205.035699,-1,Particulate
Malic acid,12.6714,133.0137,-1,Dissolved
Malic acid,12.687560975609756,133.0137,-1,Particulate
Melamine,6.939375,127.073219,1,Dissolved
Melamine,6.848780487804878,127.073219,1,Particulate
Methylphosphonic acid,10.785384615384615,94.989808,-1,Dissolved
Methylphosphonic acid,10.5175,94.989808,-1,Particulate
Muramic acid,10.784705882352942,252.108329,1,Dissolved
Muramic acid,10.478333333333333,252.108329,1,Particulate
N-Acetyl-D-glucosamine,8.52,222.097764,1,Dissolved
N-Acetyl-D-glucosamine,8.307567567567567,222.097764,1,Particulate
N-Acetyl-L-glutamic acid,11.665625,188.055899,-1,Dissolved
N-Acetyl-L-glutamic acid,11.25,188.055899,-1,Particulate
N-Acetylmuramic acid,3.647608695652174,294.118894,1,Dissolved
