mass_feature,core_metab,sample_fraction,experiment_id,timepoint,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h
Adenine,Adenosine,Particulate,G4_1,2,0.7345627453666936,0.24474998140701892,0.4
Adenine,Adenosine,Particulate,G4_1,24,0.9349782258125765,0.8929372295176905,1
Adenine,Adenosine,Particulate,G4_1,48,0.9796974776973159,0.9139117658496463,1
Adenine,Adenosine,Particulate,G4_2,2,0.6540233278464136,0.14364804669807024,0.2
Adenine,Adenosine,Particulate,G4_2,24,1.4767352240477425,0.1741364366291751,0.4
Adenine,Adenosine,Particulate,G4_2,48,1.0678210121516314,0.7098559684055916,1
Adenine,Adenosine monophosphate,Particulate,G4_1,2,0.7356505611703018,0.2654657670434217,0.4
Adenine,Adenosine monophosphate,Particulate,G4_1,24,1.114664013874762,0.8187741861888372,1
Adenine,Adenosine monophosphate,Particulate,G4_1,48,1.4156242306187963,0.49547888967292536,1
Adenine,Adenosine monophosphate,Particulate,G4_2,2,1.0010084320544264,0.9957414411346852,1
Adenine,Adenosine monophosphate,Particulate,G4_2,24,1.519575931101791,0.00532134185121006,0.1
Adenine,Adenosine monophosphate,Particulate,G4_2,48,1.7012509357558954,0.05296671849326471,0.1
Adenine,Citrulline,Particulate,G4_1,2,0.5885541732582299,0.15138675570933494,0.2
Adenine,Citrulline,Particulate,G4_1,24,0.7267643782162023,0.6190877410365854,0.7
Adenine,Citrulline,Particulate,G4_1,48,1.0021679254570335,0.9947830295229587,1
Adenine,Citrulline,Particulate,G4_2,2,1.0331226465383916,0.8558583767909453,1
Adenine,Citrulline,Particulate,G4_2,24,1.5226162776478305,0.12475780167021376,0.2
Adenine,Citrulline,Particulate,G4_2,48,1.1031687612660688,0.7420975482744234,1
Adenine,Deoxyadenosine,Particulate,G4_1,2,0.7804031488048208,0.2557465722887549,0.4
Adenine,Deoxyadenosine,Particulate,G4_1,24,0.9167712360017428,0.8005472919032399,0.7
Adenine,Deoxyadenosine,Particulate,G4_1,48,0.7513997728823067,0.1226192198451339,0.4
Adenine,Deoxyadenosine,Particulate,G4_2,2,0.5989896724831781,0.10745271845239375,0.2
