core_metab,outlier_f_h
Adenine,0.00505050505050505
Adenosine,0
Adenosine monophosphate,0
Citrulline,0
Deoxyadenosine,0.005050505050505051
Guanosine,0
L-Arginine,0
L-Glutamic acid,0
L-Lysine,0
L-Serine,0
L-Tyrosine,0
