mass_feature,sample_fraction,experiment_id,timepoint,med_pvalue_h,med_fc_h,med_qvalue_h,core_metabolite
Adenine,Particulate,G4_1,2,0.19806836855817694,0.7174433150808562,0.6170876366134408,core
Adenine,Particulate,G4_1,24,0.8186396849268076,0.9258747309071597,0.8477284046957805,core
Adenine,Particulate,G4_1,48,0.6104703091770473,0.9539448852213404,0.7672266381927284,core
Adenine,Particulate,G4_2,2,0.4319302325671176,0.801256494233734,0.7005283388144748,core
Adenine,Particulate,G4_2,24,0.09782285182098455,1.4718053495431587,0.5903010304191575,core
Adenine,Particulate,G4_2,48,0.49255201753327477,1.2782016217412524,0.7097756214348048,core
Adenosine,Particulate,G4_1,2,0.7745114893054181,1.0550015770946093,0.8298414320098951,core
Adenosine,Particulate,G4_1,24,0.7034994734938332,0.990254333908152,0.797299403293011,core
Adenosine,Particulate,G4_1,48,0.5216326463530967,0.9997733832448819,0.7138079588207644,core
Adenosine,Particulate,G4_2,2,0.15898456762576102,1.327941491700025,0.6044251340549458,core
Adenosine,Particulate,G4_2,24,0.7383446932553779,1.0102801264120855,0.8230727728092736,core
Adenosine,Particulate,G4_2,48,0.36591178328382246,1.1984468336307827,0.6724865206297278,core
Adenosine monophosphate,Particulate,G4_1,2,0.6033640577492708,0.9410937811237668,0.7672266381927284,core
Adenosine monophosphate,Particulate,G4_1,24,0.39373975553372265,0.6746914911556241,0.6917529316750358,core
Adenosine monophosphate,Particulate,G4_1,48,0.3051526774840895,0.7680379494452427,0.6170876366134408,core
Adenosine monophosphate,Particulate,G4_2,2,0.22884207235253262,0.7861690411219904,0.6170876366134408,core
Adenosine monophosphate,Particulate,G4_2,24,0.7799074226972845,0.9520360047765528,0.8298414320098951,core
Adenosine monophosphate,Particulate,G4_2,48,0.3010704046196315,0.6629339503792357,0.6170876366134408,core
Citrulline,Particulate,G4_1,2,0.47100457510083427,1.2328176689419128,0.7097756214348048,core
Citrulline,Particulate,G4_1,24,0.4593203935375312,1.2133988724109375,0.7097756214348048,core
Citrulline,Particulate,G4_1,48,0.5179346990891605,0.9434554305040823,0.7138079588207644,core
Citrulline,Particulate,G4_2,2,0.1275828711558527,0.7597629775186221,0.5903010304191575,core
Citrulline,Particulate,G4_2,24,0.6314605231396442,0.9060887639846404,0.7672266381927284,core
Citrulline,Particulate,G4_2,48,0.26185795182328536,1.1622576391043902,0.6170876366134408,core
Cytosine,Particulate,G4_1,2,0.7795754917990554,0.8738311396045596,0.8298414320098951,non-core
Cytosine,Particulate,G4_1,24,0.7648829195831837,0.8841029403098336,0.8298414320098951,non-core
Cytosine,Particulate,G4_1,48,0.4807092350720056,0.8253776019948165,0.7097756214348048,non-core
Cytosine,Particulate,G4_2,2,0.5053272040502522,0.7620817784355424,0.7138079588207644,non-core
Cytosine,Particulate,G4_2,24,0.3765886242731356,1.2694578850766882,0.6795067075640254,non-core
Cytosine,Particulate,G4_2,48,0.695616463438549,0.9389261505424694,0.7927696007903016,non-core
Deoxyadenosine,Particulate,G4_1,2,0.7476535111096576,0.9758791434394077,0.8289201970998378,core
Deoxyadenosine,Particulate,G4_1,24,0.7911975560969964,1.0231519265967621,0.8319809352772539,core
Deoxyadenosine,Particulate,G4_1,48,0.36133538776019314,1.3532330639456287,0.670313333381329,core
Deoxyadenosine,Particulate,G4_2,2,0.2719455748416564,1.4715389403361019,0.6170876366134408,core
Deoxyadenosine,Particulate,G4_2,24,0.24058524440450557,1.3418458718233608,0.6170876366134408,core
Deoxyadenosine,Particulate,G4_2,48,0.29235510784045843,1.7855206942892483,0.6170876366134408,core
Guanosine,Particulate,G4_1,2,0.5251497138611544,1.304351388654508,0.7138079588207644,core
Guanosine,Particulate,G4_1,24,0.6507325237939328,0.935087946333157,0.7763124845260951,core
Guanosine,Particulate,G4_1,48,0.33408693355354807,0.8094345945783153,0.6553243696627289,core
Guanosine,Particulate,G4_2,2,0.2836612778181683,1.2547121424990184,0.6170876366134408,core
Guanosine,Particulate,G4_2,24,0.517779508769192,0.9194374540685104,0.7138079588207644,core
Guanosine,Particulate,G4_2,48,0.3115687577018843,0.8596086485342995,0.6170876366134408,core
Homarine,Particulate,G4_1,2,0.5283578518722325,0.9400055992710863,0.7138079588207644,non-core
Homarine,Particulate,G4_1,24,0.36144346407816763,0.7649382674944928,0.670313333381329,non-core
Homarine,Particulate,G4_1,48,0.058556327943041775,0.47117333538430123,0.4424255889029823,non-core
Homarine,Particulate,G4_2,2,0.028176769998487207,0.6978731779957946,0.27368472145817463,non-core
