scan_time_round,mode,isotopologue_type,mz_round,n,n_homarine,n_control,mz_med,scan_time_med,intensity_med,samples,monoisotopic_mass,id,quality_peaks,notes
8,positive,2H3,141.1,1,1,0,141.07371520996094,8.442708015441895,734823.375,230724_Smp_G4_1_H_t48_B,138.05488497212295,27,n,
10,positive,2H2,717.1,1,1,0,717.07464599609375,10.479320526123049,942033.1875,230724_Smp_G4_2_H_t48_A,715.0620925042017,28,n,
11,positive,2H2,608.1,1,1,0,608.06536865234375,10.767545700073242,180911.25,230724_Smp_G4_1_H_t2_C,606.0528151604517,29,n,
11,positive,2H3,718.1,1,1,0,718.0574951171875,10.767142295837402,336270.3125,230724_Smp_G4_1_H_t2_A,715.0386648793495,30,n,
11,positive,2H3,720.1,1,1,0,720.05682373046875,10.760583877563477,166240.9063,230724_Smp_G4_1_H_t2_B,717.0379934926308,31,n,
11,positive,2H3,874.1,1,1,0,874.0855712890625,10.856867790222168,213309.1406,230724_Smp_G4_1_H_t48_B,871.0667410512245,32,n,
12,positive,2H2,134.1,1,1,0,134.08949279785156,11.599925994873049,854749.375,230724_Smp_G4_2_H_t48_A,132.07693930595957,33,y,
12,positive,2H2,260.1,1,1,0,260.12286376953125,11.614831924438477,1258356.125,230724_Smp_G4_2_H_t48_A,258.11031027763926,34,y,
15,negative,2H2,99,1,1,0,98.96569824,14.738965034484863,1302811.375,230724_Smp_G4_2_H_t24_B,96.95314475,35,n,
16,negative,2H3,65,1,1,0,65.01331329345703,16.22595215,1509781.5,230724_Smp_G4_2_H_t24_A,61.99448305561903,36,n,
16,positive,2H3,138.1,1,1,0,138.06597900390625,16.417844772338867,339636.375,230724_Smp_G4_1_H_t2_B,135.04714876606826,37,n,
24,positive,2H2,214.1,1,1,0,214.0858154296875,24.326242446899418,248310.2031,230724_Smp_G4_1_H_t24_A,212.0732619377955,38,n,
24,positive,2H3,215.1,1,1,0,215.0933532714844,24.115772247314453,1289989.25,230724_Smp_G4_1_H_t2_C,212.07452303364641,39,n,
