mass_feature,FinalBMIS,Orig_RSD,FinalRSD,replicate_name,runDate,type,samp_id,replicate,area,date,QC_area,fraction,adjusted_area
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240108_Poo_MutantFate_Full2,240108,Poo,MutantFate,Full2,39650152,240108,39650152,HILICNeg,43808694.426835775
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240108_Poo_MutantFate_Full3,240108,Poo,MutantFate,Full3,98623856,240108,98623856,HILICNeg,47247852.753425196
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240108_Poo_MutantFate_Half1,240108,Poo,MutantFate,Half1,20363494,240108,20363494,HILICNeg,43589716.3097705
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240108_Poo_MutantFate_Half2,240108,Poo,MutantFate,Half2,19250802,240108,19250802,HILICNeg,42005866.25196386
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240108_Poo_MutantFate_Half3,240108,Poo,MutantFate,Half3,51218068,240108,51218068,HILICNeg,49830255.37062769
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240108_Smp_M1_T1A,240108,Smp,M1,T1A,46647132,240108,46647132,HILICNeg,47214075.99653376
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240108_Smp_M1_T1B,240108,Smp,M1,T1B,105679352,240108,105679352,HILICNeg,48006868.86552674
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240108_Smp_M1_T1C,240108,Smp,M1,T1C,39050968,240108,39050968,HILICNeg,54980528.156748
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240108_Smp_M1_T2A,240108,Smp,M1,T2A,37177428,240108,37177428,HILICNeg,47949756.18185619
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240108_Smp_M1_T2B,240108,Smp,M1,T2B,103191312,240108,103191312,HILICNeg,47447657.82894438
