replicate_name,treatment,sample_fraction,"AMP, 15N5",Adenine,Adenosine,Adenosine monophosphate,Citrulline,Cytosine,"DL-Alanine, 2H3","DL-Proline, 2H7","DL-Valine, 2H8",Deoxyadenosine,"GMP, 15N5",Glutathione disulfide,Guanosine,Homarine,L-Arginine,L-Asparagine,L-Cysteic acid,L-Glutamic acid,L-Homoserine,L-Lysine,L-Phenylalanine,L-Proline,L-Serine,L-Tryptophan,L-Tyrosine,N-Methyl-L-glutamic acid,"Sucrose, 13C","Trehalose, 13C",UDP-N-acetylglucosamine,n-methyl glutamine,unknown_C6H9NO3_1_neg,unknown_C6H9NO3_2_neg,unknown_C6H9NO3_3_neg,unknown_C6H9NO4_neg,unknown_C6H9NO4_pos,unknown_C6H9NO4_pos_early,unknown_C7H9NO5_pos,"DL-Histidine, 15N","Nitrate, 15N"
240304_Smp_WT_Hom_B,Homarine,Particulate,96040951.01714574,286409168.2175333,2769343803.0601354,4908268.761553557,17205198.504498396,14699351.61578952,105065433.34822656,191708032,118799126.871625,38056035.57778971,16684049.088799832,11048760.960568655,21506381.223990597,10600266.071187047,77014177.34496465,4536649.705135552,12777411.396116065,7338453736.819024,3490068.994820535,7243342.517599266,177650794.82994786,89747168,27549098.298876707,9652940.286260637,8221782.490675614,882093225.3188734,140467901.93187097,130456358.77757087,71551.0479560678,9651132188.766151,27928620.63151426,71196638.4519116,18731394,67352856,9956505,7734332,18065004,NA,NA
240304_Smp_WT_Hom_C,Homarine,Particulate,107356914.04748368,381732819.4789112,3773390095.923965,6739852.732517135,18230869.051319953,15850946.633819578,125947881.34365489,223419904,119519741.50756592,46961175.12624361,19194910.73572857,12011457.75775163,30419352.19553123,5199096.24989367,50302266.18824117,3673776.113534178,5854030.664546611,8162298435.401269,4867476.780948039,3682881.236219349,123798367.32158992,71818504,27319699.96059308,5842547.25948018,6033904.65104799,940113264.9529332,151952647.24088833,146824750.6783365,236973.982503558,10623367339.26326,32281935.167445116,70121248.40709877,15125035,70612288,10045141,9302869,18634704,NA,NA
240304_Smp_WT_Mix_A,Glucose and homarine,Particulate,106907488.08457927,379444601.3877231,1147807614.7729814,34279271.16329464,8434087.27841684,42131484.23418347,169723136.14899242,198667808,155262312.0981523,21973715.43195867,18632028.781132635,14867524.094230324,7766039.02383586,204544803.0096527,263804548.39271075,6857931.546976386,767500.2625711982,16407818257.411428,6198330.5395367555,24230717.78766854,219501265.90115315,331793568,20777493.40006555,15105296.35157753,31326714.763738994,43551919.55989248,122343347.45382074,142485596.8662388,778880.0513875731,22362651.739176255,2025611.1563452915,126086613.26742062,31937100,184623648,22635430,23586330,37702220,NA,NA
240304_Smp_WT_Mix_B,Glucose and homarine,Particulate,107457110.35489877,282075612.97467273,357447956.791102,17082834.379946586,17423505.27232003,36930955.93455931,168155801.54382154,205977856,140326256.27304208,7792733.339679408,18531077.96260866,NA,1584934.443782368,14372575.767537331,184536313.35673425,4256751.1226436095,390502.36581643927,13664232242.529709,6440367.94531093,20278417.99001114,232803162.94282,279292416,13500917.563330162,9215261.282271558,30993082.53317589,32875830.25606022,128164458.05373783,147807039.30818158,463990.8716432163,11383247.187181402,1216684.793456757,125277076.34492528,28957830,174661728,18437732,19724512,32546556,NA,NA
240304_Smp_WT_Mix_C,Glucose and homarine,Particulate,97114320.4632548,241313340.31544444,519012675.59293,14951122.881968755,15794178.639418188,38351323.51537908,134551455.9920411,170837120,94498003.33956663,13328244.374116035,15797361.8207082,17214461.694795758,2348547.7367270594,NA,239464942.18987983,4309802.850307174,813594.9958990235,13279007453.28972,4149965.433648589,25843261.129678413,381568550.1062452,303104448,8929284.345043056,13886294.282648174,28523719.71384552,21907452.52263856,137552404.78741357,129684599.68253689,NA,4579333.754744482,NA,120795691.66612142,32326562,186651680,17755928,22531694,33415964,NA,NA
240108_Smp_M1_T1A,SPO3189 T1,Particulate,47214075.99653376,225232220.86288732,853558490.3725811,6322032.615752614,10543566.248988489,13979011.815201482,92409379.22713536,223268352,56473014.72696968,4177397.0227739704,10127750.463838344,11170712.669262826,8541799.452369926,3938416380.726368,67318720.02633075,2588663.99642105,157758.02573051822,3805917000.645416,NA,11003332.453115037,80727761.55755997,86678120,20535803.349355288,3743258.069762119,5160682.249519032,NA,59629929.48247262,49660816.31812483,1128518.7066754673,6624958.867932338,NA,NA,NA,NA,NA,NA,NA,NA,NA
240108_Smp_M1_T1B,SPO3189 T1,Particulate,48006868.86552674,409711647.4526119,2143836301.6604435,9862462.965346403,13434252.449382994,14424360.274014551,87007574.9818228,302822368,69645265.44708401,14469340.14747714,10297384.787355157,8956668.980994608,15323365.002654562,5888351313.677734,102906469.08231004,3756524.929547685,410574.5224354024,5138532372.953435,NA,15804727.150083289,129088118.27158555,180822368,18352800.98651412,6547177.12016464,13168177.067393089,NA,71847710.17174007,49524712.90811661,970760.1118923004,7005109.636378742,NA,NA,NA,NA,91604,NA,NA,NA,NA
240108_Smp_M1_T1C,SPO3189 T1,Particulate,54980528.156748,542160412.5552179,1695971853.281799,15114852.411492633,6247593.884553431,15921083.15507892,147350509.97485667,229196352,43867949.91455411,14870491.656631146,13690540.051114438,10150264.55303068,12717710.119702846,5511465794.877629,128467849.63519964,4418031.176035746,1478460.1597969213,9327715411.045809,NA,9984460.81885655,155654999.0600951,149296816,19469925.555663537,5400890.046070065,18993365.456903487,NA,72186578.51591134,65071160.58494324,2000008.602405379,10384377.009936266,NA,331915.3281030549,NA,NA,NA,NA,NA,NA,NA
240108_Smp_M1_T2A,SPO3189 T2,Particulate,47949756.18185619,114184748.33800805,41707455.92583174,3609424.4837525366,2618545.5158866667,14868805.48909172,121659908.9592874,261432400,49281435.066950135,NA,12581703.763261084,23614614.369383153,300864.9085087365,3152239493.615315,101164715.64330591,4008915.438755968,393262.5943670854,4765012126.4827,NA,8210809.625151584,67394604.79063074,69994560,13060624.15086368,3735618.521796564,92365689.33449385,NA,71894658.09142452,66466679.42674859,1902827.4015491072,12091710.832643922,NA,52677.82979244688,NA,NA,791808,NA,NA,NA,NA
240108_Smp_M1_T2B,SPO3189 T2,Particulate,47447657.82894438,170301296.35376102,85361265.32796799,7198402.36452747,3476930.641738974,10834846.83091206,71730421.90561344,312143840,73946608.33219282,NA,10237630.594790747,16405951.557402752,1346019.0032109355,3768568966.953527,112744180.80587807,3682124.297164094,435805.203074148,3312662713.4810696,3805107.5821656105,19022077.82877085,63737233.96767136,93269784,14290334.37067095,5053987.295712043,86732894.09029742,NA,71299446.98055014,50380714.365932666,1844274.71459981,7218488.119866589,NA,NA,NA,NA,85676,NA,NA,NA,NA
