replicate_name,treatment,sample_fraction,"AMP, 15N5",Adenine,Adenosine,Adenosine monophosphate,Citrulline,Cytosine,"DL-Alanine, 2H3","DL-Proline, 2H7","DL-Valine, 2H8",Deoxyadenosine,"GMP, 15N5",Glutathione disulfide,Guanosine,Homarine,L-Arginine,L-Asparagine,L-Cysteic acid,L-Glutamic acid,L-Homoserine,L-Lysine,L-Phenylalanine,L-Proline,L-Serine,L-Tryptophan,L-Tyrosine,N-Methyl-L-glutamic acid,"Sucrose, 13C","Trehalose, 13C",UDP-N-acetylglucosamine,n-methyl glutamine,unknown_C6H9NO3_1_neg,unknown_C6H9NO3_2_neg,unknown_C6H9NO3_3_neg,unknown_C6H9NO4_neg,unknown_C6H9NO4_pos,unknown_C6H9NO4_pos_early,unknown_C7H9NO5_pos,"DL-Histidine, 15N","Nitrate, 15N"
240108_Smp_WT_T1B,Wild type T1,Particulate,49379701.80177599,328990668.20609856,303020461.75911176,13731532.177624697,13428824.43349947,40830222.36043042,107764827.82733232,134906096,30492419.17779158,5252849.98156129,11851565.822083542,33176626.519142155,2701060.0659846864,35710467.92697138,105520058.82732771,5806343.175240247,983380.1938754164,9202855432.658926,NA,14630936.028694885,141970860.57328972,77381056,30044257.5236729,5323252.20438097,35037399.945018195,11504784.168571942,55305500.120439954,61728794.38277321,3483640.439284626,43760256.30377061,NA,NA,NA,NA,56321,NA,NA,NA,NA
240108_Smp_WT_T1C,Wild type T1,Particulate,51252599.00829062,371159352.91910976,846932607.9283134,20588500.88983556,6384705.393942161,20627454.761681348,111660579.53215186,291143168,54708527.085356414,9073361.55304926,14348922.963612976,28773129.57041303,9615359.788723528,35156372.17824797,147030950.54473975,7211133.579772023,1579507.8339542942,8549075750.119712,NA,10622268.43898498,133425365.39096764,206176032,25420698.029880986,9225274.757532371,45094992.91998318,15696386.642631993,70536633.37405843,71346464.0549715,3501133.205089503,49717787.74760366,354887.98100959166,NA,NA,NA,74017,NA,42886,NA,NA
240108_Smp_WT_T2A,Wild type T2,Particulate,32237699.003139783,194195757.6239356,25216571.420555804,2100611.0623469288,17609308.487063285,31406407.491478395,89312812.79989266,229327472,50860838.87022828,561820.8698957473,8050288.276776497,11665896.499351084,260967.21402663513,43912046.185158394,126380457.99916062,1085281.6896244332,458742.4729946637,2959287247.0155654,2190582.156122916,10118433.013562497,45723086.08859586,181116640,9400883.132216118,3432935.6194891273,15688256.276950669,2454679.975007415,59820156.25672197,52511792.12497526,90335.64318165058,64502676.41727913,NA,NA,NA,NA,NA,NA,NA,NA,NA
240108_Smp_WT_T2B,Wild type T2,Particulate,45139732.586070165,97730624.8948194,16019874.41423072,2967146.026543716,24078408.27580041,13891374.91055036,69781375.72699331,223131888,58196822.77375469,NA,10870919.72806939,3643016.039884507,75745.28497756673,NA,97610186.54147153,514131.4837458625,237361.6071090591,1417963612.2319736,1480694.2465186275,8051188.869590107,17119149.86992403,97644024,7823135.614275848,2294059.9222500455,9548330.645595362,985483.2723078365,60490207.41764171,49422984.86229944,53370.76130093934,27680161.34936073,NA,NA,NA,NA,NA,NA,NA,NA,NA
240108_Smp_WT_T2C,Wild type T2,Particulate,42027516.721881144,96127969.2419414,44283413.014203146,1470183.707439771,5678852.839222544,9499297.158419743,79966966.58451337,261203200,48845509.050783105,1051621.113803923,11578820.4901992,2105288.622741826,1022828.1904584488,NA,95320373.69101992,989150.4716903148,81707.86090210076,1806444482.0887363,NA,3902173.6285068393,19105514.58279082,103048200,4921839.629599684,2123967.7052334663,12688045.217918692,801435.4656002676,64262109.09500715,55533803.46445358,NA,21996314.529970884,NA,NA,NA,NA,NA,NA,NA,NA,NA
240327_Smp_Gluc_16_A,Glucose 16 h,Dissolved,NA,NA,13949697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7770188.0463686045,NA,805026,260755000.68715313,2729890,1050161.94426505,NA,17222921.73313952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330489.0989926979,NA,NA,92536245.67147706,3576859392
240327_Smp_Gluc_16_B,Glucose 16 h,Dissolved,NA,NA,4973128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142301063.10028183,NA,NA,11359449.606875962,NA,6104377.925819713,NA,NA,NA,NA,150388244.89926383,NA,NA,NA,NA,91652,NA,NA,NA,NA,NA,NA
240327_Smp_Gluc_16_C,Glucose 16 h,Dissolved,NA,NA,41269472,NA,13839077.845415546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441449,2127796908.705972,4489514,NA,26782252.287722167,17597126.69554024,19861146.595952,NA,NA,NA,NA,NA,NA,7139328,NA,NA,NA,NA,NA,NA,NA,90597646.4945698,2083337984
240327_Smp_Hom_16_A,Homarine 16 h,Dissolved,NA,317745632,NA,NA,NA,NA,NA,328027456,125040656,NA,NA,NA,NA,NA,5901436.962882273,NA,1596209,39687287.16770427,4887320,857748.1006125169,37750158.140790835,NA,20838146.686935633,NA,NA,109692592,NA,NA,NA,284029440,1210690.234136796,NA,104971,NA,1352945.1636726265,NA,767584.4670335527,129963769.6658242,2989564416
240327_Smp_Hom_16_B,Homarine 16 h,Dissolved,NA,NA,27465996,NA,6344960.777159063,NA,NA,NA,NA,NA,NA,NA,NA,NA,4909324.769488513,NA,134313,566511440.3728454,NA,712164.4876913789,22325208.0100939,27256521.25564557,22839350.604974948,NA,NA,229939856,NA,NA,NA,2146610688,3679711.3170259465,NA,77530,NA,296560.89232269867,NA,142023.59602501628,NA,NA
240327_Smp_Hom_16_C,Homarine 16 h,Dissolved,NA,NA,30055076,NA,9007328.576236855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1793732,504930714.26862615,3552776,769935.9607885828,30056052.774336576,NA,23524804.45363363,NA,NA,222600832,NA,NA,NA,1058494976,3581873.5362125654,NA,767561,NA,1596739.1916815557,NA,565551.9087862866,153837220.59283468,2990995200
240327_Smp_WT_Gluc_A,Glucose,Dissolved,NA,NA,7570216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59361009664,NA,NA,NA,1646820795.789288,NA,412480.80212206626,NA,25946388.973800205,5983355.957418338,NA,NA,NA,NA,NA,NA,6893714,NA,NA,NA,NA,NA,NA,NA,NA,NA
240327_Smp_WT_Gluc_B,Glucose,Dissolved,130937057.44943364,NA,94138760,NA,6110636.378594134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105386,948646575.347584,4441234,522589.1957010772,15811751.276820851,28212760.308521055,NA,NA,2231639.3591989973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240327_Smp_WT_Gluc_C,Glucose,Dissolved,NA,NA,82437424,NA,8102234.878572539,NA,NA,NA,NA,NA,NA,NA,NA,NA,5666851.3193035405,11205956.982512295,545134,2051961625.0765665,NA,2378122.2955523427,13453414.38948588,48903420.186057135,6412545.044762347,NA,3699692.449844805,NA,NA,NA,NA,9837801,NA,NA,NA,NA,188260.36064819945,NA,NA,NA,NA
240327_Smp_WT_Hom_A,Homarine,Dissolved,NA,NA,13929835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100060110848,5440302.664455688,NA,1096812,292038890.54730177,NA,623584.9712567413,19839097.557686456,31669396.508176852,41834582.16765029,NA,NA,1377720320,NA,NA,NA,725322688,29918984.830005735,NA,1213018,NA,1393792.295295783,NA,1979783.76633742,NA,NA
240327_Smp_WT_Hom_B,Homarine,Dissolved,NA,NA,23697298,NA,5409076.9116718825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343950,353115859.201295,4229038,NA,17623392.915170565,21675294.41042616,39120023.03996441,NA,NA,271189696,NA,NA,NA,1075632384,8491253.966095585,NA,441096,NA,1803847.2726720988,NA,1717333.542533762,NA,NA
240327_Smp_WT_Hom_C,Homarine,Dissolved,NA,137915360,32762456,NA,6812368.952171883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257061,291297956.6042436,NA,428604.4869281711,26927308.46607368,43820288.47287028,47609879.40811965,NA,2052218.317747785,283571744,NA,145920729.81913236,NA,1316573184,4299538.537349748,NA,124312,NA,1029281.5898027448,NA,1549010.5407294345,NA,NA
240327_Smp_WT_Mix_A,Glucose and homarine,Dissolved,NA,NA,NA,NA,5992591.181338568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941900,310974355.0795946,4729919,450461.9143431597,20271795.69785716,17322600.116489504,NA,NA,NA,13361676,NA,NA,NA,47378380,NA,NA,NA,NA,351598.2223792941,NA,219644.40795841863,NA,NA
240327_Smp_WT_Mix_B,Glucose and homarine,Dissolved,NA,341016608,15491803,NA,5304599.6240389515,NA,222206387.2976104,357668192,NA,NA,NA,NA,NA,NA,NA,NA,2918575,232001025.2847827,NA,NA,30372598.71848397,NA,11346055.53369792,NA,NA,21421622,NA,NA,NA,68873640,NA,NA,NA,NA,294331.5873332444,NA,151399.64662571176,NA,NA
240327_Smp_WT_Mix_C,Glucose and homarine,Dissolved,132641085.79130758,185218768,11657274,NA,6773970.570835854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3661297,266000483.8583044,NA,355568.6698731683,27349219.08534999,NA,6100099.265965211,NA,NA,19826808,NA,NA,NA,66908152,NA,NA,139471,NA,527909.3891753154,NA,540319.6358306085,NA,NA
