mass_feature,replicate_name,adjusted_area,sample_fraction,z,treatment,retention_time,mz,timepoint,experiment_id
Adenine,230717_Smp_G5_Hom1_C_A,75969552,Particulate,1,Control,5.329625,136.06232,NA,G51
Adenine,230717_Smp_G5_Hom1_C_B,58054948,Particulate,1,Control,5.329625,136.06232,NA,G51
Adenine,230717_Smp_G5_Hom1_C_C,72935576,Particulate,1,Control,5.329625,136.06232,NA,G51
Adenine,230717_Smp_G5_Hom1_T0_A,72835368,Particulate,1,Homarine,5.329625,136.06232,0,G51
Adenine,230717_Smp_G5_Hom1_T0_B,95571520,Particulate,1,Homarine,5.329625,136.06232,0,G51
Adenine,230717_Smp_G5_Hom1_T0_C,85787464,Particulate,1,Homarine,5.329625,136.06232,0,G51
Adenine,230717_Smp_G5_Hom1_T6_A,51598152,Particulate,1,Homarine,5.329625,136.06232,6,G51
Adenine,230717_Smp_G5_Hom1_T6_B,44702060,Particulate,1,Homarine,5.329625,136.06232,6,G51
Adenine,230717_Smp_G5_Hom1_T6_C,41916612,Particulate,1,Homarine,5.329625,136.06232,6,G51
Adenine,230717_Smp_G5_Hom1_T12_A,60690092,Particulate,1,Homarine,5.329625,136.06232,12,G51
Adenine,230717_Smp_G5_Hom1_T12_B,71727080,Particulate,1,Homarine,5.329625,136.06232,12,G51
Adenine,230717_Smp_G5_Hom1_T12_C,38871712,Particulate,1,Homarine,5.329625,136.06232,12,G51
Adenine,230717_Smp_G5_Hom1_T24_A,75540216,Particulate,1,Homarine,5.329625,136.06232,24,G51
Adenine,230717_Smp_G5_Hom1_T24_B,68665408,Particulate,1,Homarine,5.329625,136.06232,24,G51
Adenine,230717_Smp_G5_Hom1_T24_C,43965408,Particulate,1,Homarine,5.329625,136.06232,24,G51
Adenine,230717_Smp_G5_Hom1_T48_A,56220080,Particulate,1,Homarine,5.329625,136.06232,48,G51
Adenine,230717_Smp_G5_Hom1_T48_B,66325232,Particulate,1,Homarine,5.329625,136.06232,48,G51
Adenine,230717_Smp_G5_Hom1_T48_C,72853608,Particulate,1,Homarine,5.329625,136.06232,48,G51
Adenine,230717_Smp_G5_Hom1_T96_A,137598256,Particulate,1,Homarine,5.329625,136.06232,96,G51
Adenine,230717_Smp_G5_Hom1_T96_B,51646868,Particulate,1,Homarine,5.329625,136.06232,96,G51
Adenine,230717_Smp_G5_Hom1_T96_C,99558280,Particulate,1,Homarine,5.329625,136.06232,96,G51
Adenine,230717_Smp_G5_Hom2_C_A,112353328,Particulate,1,Control,5.329625,136.06232,NA,G52
Adenine,230717_Smp_G5_Hom2_C_B,104639192,Particulate,1,Control,5.329625,136.06232,NA,G52
Adenine,230717_Smp_G5_Hom2_C_C,153212560,Particulate,1,Control,5.329625,136.06232,NA,G52
Adenine,230717_Smp_G5_Hom2_T0_A,169748336,Particulate,1,Homarine,5.329625,136.06232,0,G52
Adenine,230717_Smp_G5_Hom2_T0_B,152530224,Particulate,1,Homarine,5.329625,136.06232,0,G52
Adenine,230717_Smp_G5_Hom2_T0_C,172310096,Particulate,1,Homarine,5.329625,136.06232,0,G52
Adenine,230717_Smp_G5_Hom2_T6_A,93734768,Particulate,1,Homarine,5.329625,136.06232,6,G52
Adenine,230717_Smp_G5_Hom2_T6_B,125745840,Particulate,1,Homarine,5.329625,136.06232,6,G52
Adenine,230717_Smp_G5_Hom2_T6_C,137481280,Particulate,1,Homarine,5.329625,136.06232,6,G52
Adenine,230717_Smp_G5_Hom2_T12_A,120954712,Particulate,1,Homarine,5.329625,136.06232,12,G52
Adenine,230717_Smp_G5_Hom2_T12_B,147701248,Particulate,1,Homarine,5.329625,136.06232,12,G52
Adenine,230717_Smp_G5_Hom2_T12_C,165886432,Particulate,1,Homarine,5.329625,136.06232,12,G52
Adenine,230717_Smp_G5_Hom2_T24_A,113088864,Particulate,1,Homarine,5.329625,136.06232,24,G52
Adenine,230717_Smp_G5_Hom2_T24_B,185297152,Particulate,1,Homarine,5.329625,136.06232,24,G52
Adenine,230717_Smp_G5_Hom2_T24_C,141967312,Particulate,1,Homarine,5.329625,136.06232,24,G52
Adenine,230717_Smp_G5_Hom2_T48_A,227156208,Particulate,1,Homarine,5.329625,136.06232,48,G52
Adenine,230717_Smp_G5_Hom2_T48_B,47520440,Particulate,1,Homarine,5.329625,136.06232,48,G52
Adenine,230717_Smp_G5_Hom2_T48_C,110512776,Particulate,1,Homarine,5.329625,136.06232,48,G52
Adenine,230717_Smp_G5_Hom2_T96_A,198028320,Particulate,1,Homarine,5.329625,136.06232,96,G52
Adenine,230717_Smp_G5_Hom2_T96_B,160010016,Particulate,1,Homarine,5.329625,136.06232,96,G52
Adenine,230717_Smp_G5_Hom2_T96_C,236762208,Particulate,1,Homarine,5.329625,136.06232,96,G52
Adenosine,230717_Smp_G5_Hom1_C_A,16579814,Particulate,1,Control,5.117,268.10458,NA,G51
Adenosine,230717_Smp_G5_Hom1_C_B,11331508,Particulate,1,Control,5.117,268.10458,NA,G51
Adenosine,230717_Smp_G5_Hom1_C_C,30318792,Particulate,1,Control,5.117,268.10458,NA,G51
Adenosine,230717_Smp_G5_Hom1_T0_A,34007684,Particulate,1,Homarine,5.117,268.10458,0,G51
Adenosine,230717_Smp_G5_Hom1_T0_B,17672732,Particulate,1,Homarine,5.117,268.10458,0,G51
Adenosine,230717_Smp_G5_Hom1_T0_C,35513008,Particulate,1,Homarine,5.117,268.10458,0,G51
Adenosine,230717_Smp_G5_Hom1_T6_A,49469604,Particulate,1,Homarine,5.117,268.10458,6,G51
Adenosine,230717_Smp_G5_Hom1_T6_B,18052174,Particulate,1,Homarine,5.117,268.10458,6,G51
Adenosine,230717_Smp_G5_Hom1_T6_C,23744524,Particulate,1,Homarine,5.117,268.10458,6,G51
Adenosine,230717_Smp_G5_Hom1_T12_A,27342840,Particulate,1,Homarine,5.117,268.10458,12,G51
Adenosine,230717_Smp_G5_Hom1_T12_B,19135300,Particulate,1,Homarine,5.117,268.10458,12,G51
Adenosine,230717_Smp_G5_Hom1_T12_C,11458706,Particulate,1,Homarine,5.117,268.10458,12,G51
Adenosine,230717_Smp_G5_Hom1_T24_A,18623340,Particulate,1,Homarine,5.117,268.10458,24,G51
Adenosine,230717_Smp_G5_Hom1_T24_B,9657163,Particulate,1,Homarine,5.117,268.10458,24,G51
Adenosine,230717_Smp_G5_Hom1_T24_C,17263492,Particulate,1,Homarine,5.117,268.10458,24,G51
Adenosine,230717_Smp_G5_Hom1_T48_A,24601962,Particulate,1,Homarine,5.117,268.10458,48,G51
Adenosine,230717_Smp_G5_Hom1_T48_B,14845813,Particulate,1,Homarine,5.117,268.10458,48,G51
Adenosine,230717_Smp_G5_Hom1_T48_C,23890612,Particulate,1,Homarine,5.117,268.10458,48,G51
Adenosine,230717_Smp_G5_Hom1_T96_A,115224896,Particulate,1,Homarine,5.117,268.10458,96,G51
Adenosine,230717_Smp_G5_Hom1_T96_B,42006316,Particulate,1,Homarine,5.117,268.10458,96,G51
Adenosine,230717_Smp_G5_Hom1_T96_C,89190416,Particulate,1,Homarine,5.117,268.10458,96,G51
Adenosine,230717_Smp_G5_Hom2_C_A,123755008,Particulate,1,Control,5.117,268.10458,NA,G52
Adenosine,230717_Smp_G5_Hom2_C_B,117501840,Particulate,1,Control,5.117,268.10458,NA,G52
Adenosine,230717_Smp_G5_Hom2_C_C,126212408,Particulate,1,Control,5.117,268.10458,NA,G52
Adenosine,230717_Smp_G5_Hom2_T0_A,149340864,Particulate,1,Homarine,5.117,268.10458,0,G52
Adenosine,230717_Smp_G5_Hom2_T0_B,123164864,Particulate,1,Homarine,5.117,268.10458,0,G52
Adenosine,230717_Smp_G5_Hom2_T0_C,158368096,Particulate,1,Homarine,5.117,268.10458,0,G52
Adenosine,230717_Smp_G5_Hom2_T6_A,64987908,Particulate,1,Homarine,5.117,268.10458,6,G52
Adenosine,230717_Smp_G5_Hom2_T6_B,120747176,Particulate,1,Homarine,5.117,268.10458,6,G52
Adenosine,230717_Smp_G5_Hom2_T6_C,109882552,Particulate,1,Homarine,5.117,268.10458,6,G52
Adenosine,230717_Smp_G5_Hom2_T12_A,130784184,Particulate,1,Homarine,5.117,268.10458,12,G52
Adenosine,230717_Smp_G5_Hom2_T12_B,66986620,Particulate,1,Homarine,5.117,268.10458,12,G52
Adenosine,230717_Smp_G5_Hom2_T12_C,144564208,Particulate,1,Homarine,5.117,268.10458,12,G52
Adenosine,230717_Smp_G5_Hom2_T24_A,70956056,Particulate,1,Homarine,5.117,268.10458,24,G52
Adenosine,230717_Smp_G5_Hom2_T24_B,177545456,Particulate,1,Homarine,5.117,268.10458,24,G52
Adenosine,230717_Smp_G5_Hom2_T24_C,63819840,Particulate,1,Homarine,5.117,268.10458,24,G52
Adenosine,230717_Smp_G5_Hom2_T48_A,115508848,Particulate,1,Homarine,5.117,268.10458,48,G52
Adenosine,230717_Smp_G5_Hom2_T48_B,78433448,Particulate,1,Homarine,5.117,268.10458,48,G52
Adenosine,230717_Smp_G5_Hom2_T48_C,83238640,Particulate,1,Homarine,5.117,268.10458,48,G52
Adenosine,230717_Smp_G5_Hom2_T96_A,117359168,Particulate,1,Homarine,5.117,268.10458,96,G52
Adenosine,230717_Smp_G5_Hom2_T96_B,96416368,Particulate,1,Homarine,5.117,268.10458,96,G52
Adenosine,230717_Smp_G5_Hom2_T96_C,290272288,Particulate,1,Homarine,5.117,268.10458,96,G52
Adenosine monophosphate,230717_Smp_G5_Hom1_C_A,843725,Particulate,-1,Control,NA,NA,NA,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_C_B,95074,Particulate,-1,Control,NA,NA,NA,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_C_C,634077,Particulate,-1,Control,NA,NA,NA,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T0_A,896386,Particulate,-1,Homarine,NA,NA,0,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T0_B,957616,Particulate,-1,Homarine,NA,NA,0,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T0_C,532492,Particulate,-1,Homarine,NA,NA,0,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T6_A,490400,Particulate,-1,Homarine,NA,NA,6,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T6_B,1111394,Particulate,-1,Homarine,NA,NA,6,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T6_C,407081,Particulate,-1,Homarine,NA,NA,6,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T12_A,664149,Particulate,-1,Homarine,NA,NA,12,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T12_B,211301,Particulate,-1,Homarine,NA,NA,12,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T12_C,337916,Particulate,-1,Homarine,NA,NA,12,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T24_A,82716,Particulate,-1,Homarine,NA,NA,24,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T24_B,367615,Particulate,-1,Homarine,NA,NA,24,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T24_C,321590,Particulate,-1,Homarine,NA,NA,24,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T48_A,776156,Particulate,-1,Homarine,NA,NA,48,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T48_B,890979,Particulate,-1,Homarine,NA,NA,48,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T48_C,1334096,Particulate,-1,Homarine,NA,NA,48,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T96_A,NA,Particulate,-1,Homarine,NA,NA,96,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T96_B,1097744,Particulate,-1,Homarine,NA,NA,96,G51
Adenosine monophosphate,230717_Smp_G5_Hom1_T96_C,71344,Particulate,-1,Homarine,NA,NA,96,G51
Adenosine monophosphate,230717_Smp_G5_Hom2_C_A,1088316,Particulate,-1,Control,NA,NA,NA,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_C_B,755451,Particulate,-1,Control,NA,NA,NA,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_C_C,1409411,Particulate,-1,Control,NA,NA,NA,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T0_A,1560699,Particulate,-1,Homarine,NA,NA,0,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T0_B,1287911,Particulate,-1,Homarine,NA,NA,0,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T0_C,766405,Particulate,-1,Homarine,NA,NA,0,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T6_A,1884523,Particulate,-1,Homarine,NA,NA,6,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T6_B,1890647,Particulate,-1,Homarine,NA,NA,6,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T6_C,1138983,Particulate,-1,Homarine,NA,NA,6,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T12_A,2224707,Particulate,-1,Homarine,NA,NA,12,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T12_B,1425375,Particulate,-1,Homarine,NA,NA,12,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T12_C,1902480,Particulate,-1,Homarine,NA,NA,12,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T24_A,1297220,Particulate,-1,Homarine,NA,NA,24,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T24_B,1235196,Particulate,-1,Homarine,NA,NA,24,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T24_C,1485017,Particulate,-1,Homarine,NA,NA,24,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T48_A,1155080,Particulate,-1,Homarine,NA,NA,48,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T48_B,115820,Particulate,-1,Homarine,NA,NA,48,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T48_C,1931734,Particulate,-1,Homarine,NA,NA,48,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T96_A,2155610,Particulate,-1,Homarine,NA,NA,96,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T96_B,3364630,Particulate,-1,Homarine,NA,NA,96,G52
Adenosine monophosphate,230717_Smp_G5_Hom2_T96_C,6354439,Particulate,-1,Homarine,NA,NA,96,G52
Citrulline,230717_Smp_G5_Hom1_C_A,10890255.998069456,Particulate,1,Control,12.732837837837838,176.103517,NA,G51
Citrulline,230717_Smp_G5_Hom1_C_B,4061218.6195107894,Particulate,1,Control,12.732837837837838,176.103517,NA,G51
Citrulline,230717_Smp_G5_Hom1_C_C,2448875.7325545345,Particulate,1,Control,12.732837837837838,176.103517,NA,G51
Citrulline,230717_Smp_G5_Hom1_T0_A,2699737.8187809815,Particulate,1,Homarine,12.732837837837838,176.103517,0,G51
Citrulline,230717_Smp_G5_Hom1_T0_B,2223985.2827966614,Particulate,1,Homarine,12.732837837837838,176.103517,0,G51
Citrulline,230717_Smp_G5_Hom1_T0_C,1737272.0633647975,Particulate,1,Homarine,12.732837837837838,176.103517,0,G51
Citrulline,230717_Smp_G5_Hom1_T6_A,5463346.083470218,Particulate,1,Homarine,12.732837837837838,176.103517,6,G51
Citrulline,230717_Smp_G5_Hom1_T6_B,4741546.5491910735,Particulate,1,Homarine,12.732837837837838,176.103517,6,G51
Citrulline,230717_Smp_G5_Hom1_T6_C,5426974.328119128,Particulate,1,Homarine,12.732837837837838,176.103517,6,G51
