"Treatment","Mean_Growth_Percentage","SD_Growth","P_value"
"DSS3",100,0.0648344044470218,NA
"DSS3",100,0.0648344044470218,NA
"DSS3",100,0.0648344044470218,NA
"DSS3",100,0.0648344044470218,NA
"DSS3",100,0.0648344044470218,NA
"DSS3_Kan",0.642201834862383,0.000547722557505166,0.00171566918643361
"DSS3_Kan",0.642201834862383,0.000547722557505166,0.00171566918643361
"DSS3_Kan",0.642201834862383,0.000547722557505166,0.00171566918643361
"DSS3_Kan",0.642201834862383,0.000547722557505166,0.00171566918643361
"DSS3_Kan",0.642201834862383,0.000547722557505166,0.00171566918643361
"SPO3185_110715",97.7981651376147,0.023972901368003,0.882595317042796
"SPO3185_110715",97.7981651376147,0.023972901368003,0.882595317042796
"SPO3185_110715",97.7981651376147,0.023972901368003,0.882595317042796
"SPO3185_110715",97.7981651376147,0.023972901368003,0.882595317042796
"SPO3185_110715",97.7981651376147,0.023972901368003,0.882595317042796
"SPO3186_4607",142.844036697248,0.0354654761704957,0.0290775766563036
"SPO3186_4607",142.844036697248,0.0354654761704957,0.0290775766563036
"SPO3186_4607",142.844036697248,0.0354654761704957,0.0290775766563036
"SPO3186_4607",142.844036697248,0.0354654761704957,0.0290775766563036
"SPO3186_4607",142.844036697248,0.0354654761704957,0.0290775766563036
"SPO3186_48115",146.238532110092,0.080191645450134,0.0617822746119855
"SPO3186_48115",146.238532110092,0.080191645450134,0.0617822746119855
"SPO3186_48115",146.238532110092,0.080191645450134,0.0617822746119855
"SPO3186_48115",146.238532110092,0.080191645450134,0.0617822746119855
"SPO3186_48115",146.238532110092,0.080191645450134,0.0617822746119855
"SPO3187_108C1",100.275229357798,0.0429336697709385,0.986719870667279
"SPO3187_108C1",100.275229357798,0.0429336697709385,0.986719870667279
"SPO3187_108C1",100.275229357798,0.0429336697709385,0.986719870667279
"SPO3187_108C1",100.275229357798,0.0429336697709385,0.986719870667279
"SPO3187_108C1",100.275229357798,0.0429336697709385,0.986719870667279
"SPO3187_37010",119.357798165138,0.0451962387815623,0.270623077625307
"SPO3187_37010",119.357798165138,0.0451962387815623,0.270623077625307
"SPO3187_37010",119.357798165138,0.0451962387815623,0.270623077625307
"SPO3187_37010",119.357798165138,0.0451962387815623,0.270623077625307
"SPO3187_37010",119.357798165138,0.0451962387815623,0.270623077625307
"SPO3189_17N5",0.642201834862382,0.000547722557505163,0.00171566918643361
"SPO3189_17N5",0.642201834862382,0.000547722557505163,0.00171566918643361
"SPO3189_17N5",0.642201834862382,0.000547722557505163,0.00171566918643361
"SPO3189_17N5",0.642201834862382,0.000547722557505163,0.00171566918643361
"SPO3189_17N5",0.642201834862382,0.000547722557505163,0.00171566918643361
"SPO3189_43B4",0.642201834862382,0.000547722557505168,0.00171566918643361
"SPO3189_43B4",0.642201834862382,0.000547722557505168,0.00171566918643361
"SPO3189_43B4",0.642201834862382,0.000547722557505168,0.00171566918643361
"SPO3189_43B4",0.642201834862382,0.000547722557505168,0.00171566918643361
"SPO3189_43B4",0.642201834862382,0.000547722557505168,0.00171566918643361
"SPO3190",0.458715596330272,7.12610384119701e-18,0.00170448734389776
"SPO3190",0.458715596330272,7.12610384119701e-18,0.00170448734389776
"SPO3190",0.458715596330272,7.12610384119701e-18,0.00170448734389776
"SPO3190",0.458715596330272,7.12610384119701e-18,0.00170448734389776
"SPO3190",0.458715596330272,7.12610384119701e-18,0.00170448734389776
"SPO3192_117L10",2.20183486238532,0.000836660026534076,0.00182019726487233
"SPO3192_117L10",2.20183486238532,0.000836660026534076,0.00182019726487233
"SPO3192_117L10",2.20183486238532,0.000836660026534076,0.00182019726487233
"SPO3192_117L10",2.20183486238532,0.000836660026534076,0.00182019726487233
"SPO3192_117L10",2.20183486238532,0.000836660026534076,0.00182019726487233
"SPO3192_23A2",0.917431192660546,0,0.00173447801623647
"SPO3192_23A2",0.917431192660546,0,0.00173447801623647
"SPO3192_23A2",0.917431192660546,0,0.00173447801623647
"SPO3192_23A2",0.917431192660546,0,0.00173447801623647
"SPO3192_23A2",0.917431192660546,0,0.00173447801623647
