"Max_OD600","SD_OD600","Treatment"
0.18,0.0248292308261973,"DSS3_Hom12"
0.146,0.00827391984517708,"SPO1585_Hom12"
0.141,0.0158300701317715,"DSS3_NMGA"
0.136,0.0126072301941982,"SPO3191_NMGA"
0.132,0.00950563841144519,"DSS3_Hom4"
0.13,0.0113709926770459,"DSS3_NMGA_KAN"
0.125,0.0026835705659081,"SPO1588_NMGA"
0.124,0.00503137008009432,"SPO1588_Hom4"
0.122,0.00378820686410128,"SPO1588_Hom12"
0.119,0.00550955020376106,"SPO1585_Hom4"
0.115,0.00275259516311249,"SPO1585_NMGA"
0.105,0.00288830257472287,"SPO3191_Hom12"
0.105,0.00217877080410428,"DSS3_Hom12_KAN"
0.103,0.00223013098055025,"DSS3_Hom4_KAN"
0.102,0.00248272929033203,"SPO3191_Hom4"
