"Max_OD600","SD_OD600","Treatment"
0.389,0.115133736684784,"SPO3186_48115"
0.36,0.104238568222729,"SPO3186_4607"
0.314,0.0937734281107288,"SPO3187_37010"
0.299,0.0884896329682028,"DSS3"
0.265,0.0813739268318344,"SPO3187_108C1"
0.242,0.0769581921897968,"SPO3185_110715"
0.00599999999999999,0.00152554696101705,"SPO3192_117L10"
0.002,0.000571009881580304,"SPO3189_43B4"
0.002,0.000509285528492546,"DSS3_Kan"
0.00199999999999999,0.00050373922532248,"SPO3189_17N5"
0.00199999999999999,0.000559724379159484,"SPO3192_23A2"
0.001,0.000361135958278832,"SPO3190"
