"Max_OD600","SD_OD600","Treatment"
0.093,0.0231948601040865,"DSS3_Hom12"
0.048,0.0127814723264238,"SPO3191_NMGA"
0.048,0.010254051601693,"DSS3_Hom4"
0.046,0.0148324733870329,"DSS3_NMGA"
0.038,0.00818291060558676,"SPO1585_Hom12"
0.038,0.0111686467813922,"DSS3_NMGA_KAN"
0.026,0.00596639007207078,"SPO1585_Hom4"
0.024,0.00404587826462246,"SPO1588_Hom12"
0.022,0.00549212085556543,"SPO1588_Hom4"
0.018,0.00228759990818354,"DSS3_Hom4_KAN"
0.017,0.0021859958265791,"DSS3_Hom12_KAN"
0.012,0.0017059689729703,"SPO3191_Hom4"
0.01,0.00277676977979777,"SPO1588_NMGA"
0.01,0.00171369114308537,"SPO1585_NMGA"
0.005,0.00135017408308365,"SPO3191_Hom12"
