ACFI4X_16530
ACFI7C_19125
ACFI7D_18325
ACFJAA_15410
ACFJAB_15840
ACFLL8_07305
gene-SPO1588
WP_012591628.1
1X31_2
AAY34150.1
ACFI4U_05695
ACFI4U_07710
ACFI4V_06745
ACFI4V_07735
ACFI4W_08980
ACFI4W_11000
ACFI4X_08575
ACFI4Y_02540
ACFI4Y_02885
ACFI5Q_07105
ACFI5Q_09355
ACFI6H_06065
ACFI6H_08315
ACFI6K_15120
ACFI6U_11965
ACFI6U_18075
ACFI6U_20290
ACFI7C_30425
ACFI7D_07235
ACFI8T_08515
ACFI8U_03545
ACFI8U_11775
ACFI9K_12175
ACFJAA_28545
ACFJAB_07480
ACFLL8_02220
gene-SPO2348
P40875.2
