core_metab,outlier_f_hNH4,outlier_f_h
Adenine,0,0
Adenosine,0,0
Adenosine monophosphate,0,0
Citrulline,0,0
Cytosine,0,0
Deoxyadenosine,0,0
Guanosine,0,0
L-Cysteic acid,0,0
L-Glutamic acid,0,0
L-Homoserine,0,0.05555555555555555
L-Proline,0,0
L-Serine,0,0
L-Tyrosine,0,0.02702702702702703
