Compound,Cruise,SampID,replicate,Local_Date,Local_Time,Lat,Long,Part.Conc.nM,Diss.Conc.nM
Homarine,KM1906,MU21,A,4/26/2019,6:00:00,35.55,-158,0.240408417,NA
Homarine,KM1906,MU21,B,4/26/2019,6:00:00,35.55,-158,0.325423676,NA
Homarine,KM1906,MU21,C,4/26/2019,6:00:00,35.55,-158,0.249431975,NA
Homarine,KM1906,MU22,A,4/26/2019,12:00:00,34.39,-158,0.068919637,NA
Homarine,KM1906,MU22,B,4/26/2019,12:00:00,34.39,-158,0.108265732,NA
Homarine,KM1906,MU22,C,4/26/2019,12:00:00,34.39,-158,0.08882226,NA
Homarine,KM1906,MU23,A,4/26/2019,18:30:00,33.34,-158,0.021486453,NA
Homarine,KM1906,MU23,B,4/26/2019,18:30:00,33.34,-158,0.023482007,NA
Homarine,KM1906,MU23,C,4/26/2019,18:30:00,33.34,-158,0.020640314,NA
Homarine,KM1906,MU24,A,4/27/2019,6:00:00,31.24,-158,0.010490401,NA
Homarine,KM1906,MU24,B,4/27/2019,6:00:00,31.24,-158,0.014368841,NA
Homarine,KM1906,MU24,C,4/27/2019,6:00:00,31.24,-158,0.012165068,NA
Homarine,KM1906,MU12,A,4/19/2019,18:50:00,37,-158,NA,34.13565543
Homarine,KM1906,MU12,B,4/19/2019,18:50:00,37,-158,NA,18.93602691
Homarine,KM1906,MU12,C,4/19/2019,18:50:00,37,-158,NA,32.22935635
Homarine,KM1906,MU13,A,4/21/2019,18:15:00,33,-158,NA,0.151095822
Homarine,KM1906,MU13,B,4/21/2019,18:15:00,33,-158,NA,0.157604577
Homarine,KM1906,MU13,C,4/21/2019,18:15:00,33,-158,NA,0.189219658
