mass_feature	211202_Smp_OBi1_1	211202_Smp_OBi1_2	211202_Smp_OBi1_3	211202_Smp_OBi1_4	211202_Smp_OBi1_5	211202_Smp_OBi1_6	211202_Smp_OBi1_7	211202_Smp_OBi1_8	211202_Smp_OBi1_9	220302_Smp_OBi1_1	220302_Smp_OBi1_2	220302_Smp_OBi1_3	220302_Smp_OBi1_4	220302_Smp_OBi1_5	220302_Smp_OBi1_6	220302_Smp_OBi1_7	220302_Smp_OBi1_8	220302_Smp_OBi1_9
L-Isoleucine	56891530.11259839	47472230.77947418	52883419.9149912	22443433.20009407	21483153.53172157	27438499.88413089	43096548.64606544	38278422.84545258	44021292.59872	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Ornithine	5536026.809778712	5027084.576707039	5189736.632883381	986024.1329155754	1142974.3250026195	1226996.2773190546	4523883.448429456	4497187.2386224605	4835546.625417881	NA	NA	NA	NA	NA	NA	NA	NA	NA
Homarine	4286567.365677197	21003953.750986654	4242670.777187288	99659761454.9316	86637515284.74907	82994951937.25813	67884757468.560486	69629890076.92441	66434056317.3346	71943851.69818561	28019864.092756085	23981205.02547921	796895555075.2802	790109767400.4034	762407005690.8823	32749008861.76378	28515971817.04587	24587659897.794346
(3-Carboxypropyl)trimethylammonium	2215316	1889054	1889147	1981829	1828981	1859975	1932192	1627394	1559427	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Lysine	22536509.15023805	18288415.74166809	21681186.375715617	11381532.499180611	10823490.205905594	7752166.414672489	17655569.3305634	17711103.673158456	15065294.1525039	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Glutamic acid	1136915501.3089547	1120340080.495914	1151938004.4665115	1550247233.0835383	1034119414.0992664	980810066.5919188	4002385279.826817	4263904638.334622	3765930939.1621847	58283678.171240866	66514982.4722879	66929124.793448225	29952320.575435232	25929044.750715524	24453932.73183774	66819372.38056201	92948004.63066591	124772243.33866856
Guanine	40491464	58790940	52941904	39425044	13278000	19844214	62686852	51091808	23479088	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Histidine	20120765.914620265	19911861.5917964	20049369.09201906	2511116.8010599827	2815214.625731883	2066993.6298088797	13710969.92627786	13949800.484738916	11774783.53552199	NA	NA	NA	NA	NA	NA	NA	NA	NA
n-methyl glutamic acid	7770834.53606507	7422600.662132245	7363005.858422175	886143621.8509041	1082561258.8246183	1065225979.7482516	35120222.429365195	33575177.26065801	41594393.780994736	982172.82988888	1258641.2037273364	1162832.9352265173	152949605.7466638	150805659.58720765	84683767.24033967	2176817.040918577	3786995.5329284775	4261921.252881841
L-Arginine	77777332.08679025	69563850.2499644	76618815.02067779	19457040.516256765	21512616.692276426	16462937.412673868	63910423.52714813	63428903.475737	56848627.010207824	NA	NA	NA	NA	NA	NA	NA	NA	NA
Citrulline	66183513.27062584	66644587.64109555	68490381.22749655	2241873.52377319	3356168.5475070975	2851029.312834291	45299574.652424455	49742996.10019979	41497136.9840924	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Tyrosine	8694041.240943905	9025724.456518307	9047569.461504778	7728718.360495775	6851649.818674793	6448922.309173862	9479695.90400184	9261433.678564202	9013798.44489565	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Cystine	2165225	5722112	1828051	1603942	80634	2593986	93706	1550507	1626723	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cytidine	104450923.89166696	67335661.03140943	95130317.77280562	26079418.193655822	13927672.408373224	11923012.868778206	83523741.06581105	59411321.948501796	47373783.00878526	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deoxyadenosine	40954948	34776492	41678956	26420520	14547994	12929305	39392984	33581004	30069012	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adenosine	1055640592.0940664	679597251.039859	967088069.636308	535339497.08180624	346341930.96889156	218767161.32962945	834355753.1136404	535410658.5847532	574841590.1385354	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guanosine	59441112.48885082	37387303.73169355	51671634.70739938	36811367.076280475	20134671.102223847	10900094.165708365	52267442.274885714	36090290.31346809	28415319.71980461	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ophthalmic acid	5528619.721269922	6434962.081837767	4504674.557534652	4457952.283145099	24464593.129943226	27696597.817196727	3689812.306565074	2449514.6630837703	1791215.690072051	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cys-Gly, oxidized	4986792	4226584	4489927	23052542	8002644	5896514	31568214	2212512	952442	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glutathione disulfide	437202.3103963408	251257.6162166253	253843.05068335668	445.58487096764145	1474684.574000587	247221.89417535003	602943.3316077522	1666436.613648886	2272267.45630201	NA	NA	NA	NA	NA	NA	NA	NA	NA
