core_metab,outlier_f_h
Adenine,0.0029761904761904756
Adenosine,0.023809523809523808
Citrulline,0.008928571428571428
Cytosine,0.07738095238095237
Deoxyadenosine,0.029761904761904764
L-Arginine,0
L-Glutamic acid,0.0029761904761904756
L-Lysine,0
L-Proline,0
L-Serine,0.0654761904761905
L-Tyrosine,0.0029761904761904756
