mass_feature,replicate_name,adjusted_area,sample_fraction,z,treatment,sample_set,retention_time,mz,timepoint,experiment_id
Adenosine,240926_Smp_RC104_HomFate_T96_C_posDDA,253869440,Particulate,1,Homarine,homarine_fate_1,4.9491836734693875,268.10458,96,NA
Citrulline,240926_Smp_RC104_HomFate_Con_A_posDDA,3562698,Particulate,1,Control,homarine_fate_1,12.481428571428571,176.103517,NA,NA
Citrulline,240926_Smp_RC104_HomFate_Con_B_posDDA,2786515,Particulate,1,Control,homarine_fate_1,12.481428571428571,176.103517,NA,NA
Citrulline,240926_Smp_RC104_HomFate_Con_C_posDDA,2128497,Particulate,1,Control,homarine_fate_1,12.481428571428571,176.103517,NA,NA
Citrulline,240926_Smp_RC104_HomFate_T0_A_posDDA,5609863,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,0,NA
Citrulline,240926_Smp_RC104_HomFate_T0_B_posDDA,4523260,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,0,NA
Citrulline,240926_Smp_RC104_HomFate_T0_C_posDDA,3818637,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,0,NA
Citrulline,240926_Smp_RC104_HomFate_T6_A_posDDA,13640088,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,6,NA
Citrulline,240926_Smp_RC104_HomFate_T6_B_posDDA,15725640,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,6,NA
Citrulline,240926_Smp_RC104_HomFate_T6_C_posDDA,8919207,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,6,NA
Citrulline,240926_Smp_RC104_HomFate_T12_A_posDDA,6212647,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,12,NA
Citrulline,240926_Smp_RC104_HomFate_T12_B_posDDA,3107490,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,12,NA
Citrulline,240926_Smp_RC104_HomFate_T12_C_posDDA,6998211,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,12,NA
Citrulline,240926_Smp_RC104_HomFate_T24_A_posDDA,3994547,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,24,NA
Citrulline,240926_Smp_RC104_HomFate_T24_B_posDDA,5209240,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,24,NA
Citrulline,240926_Smp_RC104_HomFate_T24_C_posDDA,10352401,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,24,NA
Citrulline,240926_Smp_RC104_HomFate_T48_A_posDDA,6753040,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,48,NA
Citrulline,240926_Smp_RC104_HomFate_T48_B_posDDA,9243076,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,48,NA
Citrulline,240926_Smp_RC104_HomFate_T48_C_posDDA,10622665,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,48,NA
Citrulline,240926_Smp_RC104_HomFate_T96_A_posDDA,8590296,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,96,NA
Citrulline,240926_Smp_RC104_HomFate_T96_B_posDDA,5925123,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,96,NA
Citrulline,240926_Smp_RC104_HomFate_T96_C_posDDA,10862579,Particulate,1,Homarine,homarine_fate_1,12.481428571428571,176.103517,96,NA
Cytosine,240926_Smp_RC104_HomFate_Con_A_posDDA,94144488,Particulate,1,Control,homarine_fate_1,7.436734693877551,112.051087,NA,NA
Cytosine,240926_Smp_RC104_HomFate_Con_B_posDDA,39746612,Particulate,1,Control,homarine_fate_1,7.436734693877551,112.051087,NA,NA
Cytosine,240926_Smp_RC104_HomFate_Con_C_posDDA,57992500,Particulate,1,Control,homarine_fate_1,7.436734693877551,112.051087,NA,NA
Cytosine,240926_Smp_RC104_HomFate_T0_A_posDDA,38399340,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,0,NA
Cytosine,240926_Smp_RC104_HomFate_T0_B_posDDA,52351268,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,0,NA
Cytosine,240926_Smp_RC104_HomFate_T0_C_posDDA,33845668,Particulate,1,Homarine,homarine_fate_1,7.436734693877551,112.051087,0,NA
