"Treatment","Mean_Growth_Percentage","SD_Growth","P_value"
"DSS3_Hom12",187.96992481203,0.0100166528008778,0.0178931082839925
"DSS3_Hom12",187.96992481203,0.0100166528008778,0.0178931082839925
"DSS3_Hom12",187.96992481203,0.0100166528008778,0.0178931082839925
"DSS3_Hom12_KAN",37.593984962406,0.000577350269189626,0.000971548900604611
"DSS3_Hom12_KAN",37.593984962406,0.000577350269189626,0.000971548900604611
"DSS3_Hom12_KAN",37.593984962406,0.000577350269189626,0.000971548900604611
"DSS3_Hom4",90.9774436090226,0.00802080627701064,0.48194673408718
"DSS3_Hom4",90.9774436090226,0.00802080627701064,0.48194673408718
"DSS3_Hom4",90.9774436090226,0.00802080627701064,0.48194673408718
"DSS3_Hom4_KAN",38.3458646616541,0.000999999999999999,0.000330249037340008
"DSS3_Hom4_KAN",38.3458646616541,0.000999999999999999,0.000330249037340008
"DSS3_Hom4_KAN",38.3458646616541,0.000999999999999999,0.000330249037340008
"DSS3_NMGA",100,0.00208166599946613,NA
"DSS3_NMGA",100,0.00208166599946613,NA
"DSS3_NMGA",100,0.00208166599946613,NA
"DSS3_NMGA_KAN",79.6992481203007,0.00378593889720018,0.034492761290088
"DSS3_NMGA_KAN",79.6992481203007,0.00378593889720018,0.034492761290088
"DSS3_NMGA_KAN",79.6992481203007,0.00378593889720018,0.034492761290088
"SPO1585_Hom12",80.4511278195489,0.00206559111797729,0.00393111294173667
"SPO1585_Hom12",80.4511278195489,0.00206559111797729,0.00393111294173667
"SPO1585_Hom12",80.4511278195489,0.00206559111797729,0.00393111294173667
"SPO1585_Hom12",80.4511278195489,0.00206559111797729,0.00393111294173667
"SPO1585_Hom12",80.4511278195489,0.00206559111797729,0.00393111294173667
"SPO1585_Hom12",80.4511278195489,0.00206559111797729,0.00393111294173667
"SPO1585_Hom4",49.6240601503759,0.00493963561409139,3.02193268859529e-05
"SPO1585_Hom4",49.6240601503759,0.00493963561409139,3.02193268859529e-05
"SPO1585_Hom4",49.6240601503759,0.00493963561409139,3.02193268859529e-05
"SPO1585_Hom4",49.6240601503759,0.00493963561409139,3.02193268859529e-05
"SPO1585_Hom4",49.6240601503759,0.00493963561409139,3.02193268859529e-05
"SPO1585_Hom4",49.6240601503759,0.00493963561409139,3.02193268859529e-05
"SPO1585_NMGA",19.9248120300752,0.00075277265270908,0.000600090640059622
"SPO1585_NMGA",19.9248120300752,0.00075277265270908,0.000600090640059622
"SPO1585_NMGA",19.9248120300752,0.00075277265270908,0.000600090640059622
"SPO1585_NMGA",19.9248120300752,0.00075277265270908,0.000600090640059622
"SPO1585_NMGA",19.9248120300752,0.00075277265270908,0.000600090640059622
"SPO1585_NMGA",19.9248120300752,0.00075277265270908,0.000600090640059622
"SPO1588_Hom12",46.9924812030075,0.00248327740429189,2.94693917154765e-05
"SPO1588_Hom12",46.9924812030075,0.00248327740429189,2.94693917154765e-05
"SPO1588_Hom12",46.9924812030075,0.00248327740429189,2.94693917154765e-05
"SPO1588_Hom12",46.9924812030075,0.00248327740429189,2.94693917154765e-05
"SPO1588_Hom12",46.9924812030075,0.00248327740429189,2.94693917154765e-05
"SPO1588_Hom12",46.9924812030075,0.00248327740429189,2.94693917154765e-05
"SPO1588_Hom4",44.3609022556391,0.00273252020425589,1.40483941943876e-05
"SPO1588_Hom4",44.3609022556391,0.00273252020425589,1.40483941943876e-05
"SPO1588_Hom4",44.3609022556391,0.00273252020425589,1.40483941943876e-05
"SPO1588_Hom4",44.3609022556391,0.00273252020425589,1.40483941943876e-05
"SPO1588_Hom4",44.3609022556391,0.00273252020425589,1.40483941943876e-05
"SPO1588_Hom4",44.3609022556391,0.00273252020425589,1.40483941943876e-05
"SPO1588_NMGA",17.6691729323308,0.00263944438597722,2.27026194924143e-06
"SPO1588_NMGA",17.6691729323308,0.00263944438597722,2.27026194924143e-06
"SPO1588_NMGA",17.6691729323308,0.00263944438597722,2.27026194924143e-06
"SPO1588_NMGA",17.6691729323308,0.00263944438597722,2.27026194924143e-06
"SPO1588_NMGA",17.6691729323308,0.00263944438597722,2.27026194924143e-06
"SPO1588_NMGA",17.6691729323308,0.00263944438597722,2.27026194924143e-06
"SPO3191_Hom12",11.2781954887218,5.37484410618657e-18,0.000932334265168062
"SPO3191_Hom12",11.2781954887218,5.37484410618657e-18,0.000932334265168062
"SPO3191_Hom12",11.2781954887218,5.37484410618657e-18,0.000932334265168062
"SPO3191_Hom12",11.2781954887218,5.37484410618657e-18,0.000932334265168062
"SPO3191_Hom12",11.2781954887218,5.37484410618657e-18,0.000932334265168062
"SPO3191_Hom12",11.2781954887218,5.37484410618657e-18,0.000932334265168062
"SPO3191_Hom4",25.187969924812,0.00116904519445002,0.000295720144974173
"SPO3191_Hom4",25.187969924812,0.00116904519445002,0.000295720144974173
"SPO3191_Hom4",25.187969924812,0.00116904519445002,0.000295720144974173
"SPO3191_Hom4",25.187969924812,0.00116904519445002,0.000295720144974173
"SPO3191_Hom4",25.187969924812,0.00116904519445002,0.000295720144974173
"SPO3191_Hom4",25.187969924812,0.00116904519445002,0.000295720144974173
"SPO3191_NMGA",90.2255639097744,0.00626099033699941,0.171124297820044
"SPO3191_NMGA",90.2255639097744,0.00626099033699941,0.171124297820044
"SPO3191_NMGA",90.2255639097744,0.00626099033699941,0.171124297820044
"SPO3191_NMGA",90.2255639097744,0.00626099033699941,0.171124297820044
"SPO3191_NMGA",90.2255639097744,0.00626099033699941,0.171124297820044
"SPO3191_NMGA",90.2255639097744,0.00626099033699941,0.171124297820044
