"Treatment","Avg_Max_OD600","SD_Max_OD600"
"DSS3_Hom12",0.0833333333333333,0.0100166528008778
"DSS3_Hom12_KAN",0.0166666666666667,0.000577350269189626
"DSS3_Hom4",0.0403333333333333,0.00802080627701064
"DSS3_Hom4_KAN",0.017,0.000999999999999994
"DSS3_NMGA",0.0443333333333333,0.00208166599946613
"DSS3_NMGA_KAN",0.0353333333333333,0.00378593889720019
"SPO1585_Hom12",0.0356666666666667,0.00206559111797729
"SPO1585_Hom4",0.022,0.00493963561409139
"SPO1585_NMGA",0.00883333333333333,0.000752772652709079
"SPO1588_Hom12",0.0208333333333333,0.00248327740429189
"SPO1588_Hom4",0.0196666666666667,0.0027325202042559
"SPO1588_NMGA",0.00783333333333333,0.00263944438597722
"SPO3191_Hom12",0.005,7.17345388927792e-18
"SPO3191_Hom4",0.0111666666666667,0.00116904519445002
"SPO3191_NMGA",0.04,0.00626099033699942
