mass_feature,fc_hNH4,fc_h,mean_overall,ave_control,ave_hNH4,ave_h,n_control,n_hNH4,n_h,RT,mz,MS2,add_annotation,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds
HILICPos_52,4.203322523703063,3.418324645596149,2844340.22098288,989720.467027906,4160114.3312283116,3383185.864692422,3,3,3,13.456,127.03914,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_55,1.7380748123108631,0.9496202060514699,75899055.72028697,61745118.84173622,107317635.84196262,58634412.47716205,3,3,3,8.709,127.05047,NA,[M+H],FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
HILICPos_56,4.532339612410167,1.214235852342371,2615548.5760581074,1163056.0970034497,5271365.2199038975,1412224.411266975,3,3,3,13.614,128.07086,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_6,4.041893693672532,3.199459174482615,22498529.668953538,8189867.620844842,33102574.288705632,26203147.097310137,3,3,3,11.493,86.04909,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_61,31.383702454377456,644.6922817194463,35653898.502943404,157975.91113698433,4957868.99008229,101845850.60761093,3,3,3,9.224,130.05002,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_63,0.8702936741136367,0.8642957560694053,47982427.711587615,52639449.83694595,45811780.201916166,45496053.09590074,3,3,3,8.696,130.08624,NA,[M+H],FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_65,3.289788274204237,1.5962010941273754,35194114.92800932,17937909.530060083,59011924.435728095,28632510.81823978,3,3,3,10.847,131.04723,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_66,1.5671036853200258,2.1561111510835933,36661961.141655445,23286233.47328247,36491942.2932035,50207707.65848037,3,3,3,10.68,131.08157,50.48769:7830 51.71355:7290 56.05029:17515 58.91386:6163 64.98503:7135 69.20801:7955 70.84749:7070 71.10851:7757 85.04838:32644 87.09184:7308 88.03979:54538 90.09663:6481 101.32805:6270 102.05543:9218 104.28409:7134 120.79328:6991 122.97143:6889 124.03101:7116 125.2604:8156,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_70,0.8322932470300457,0.6349542242163573,5245311.92545523,6377931.666666667,5308309.456185752,4049694.653513272,3,3,3,6.93,133.03185,NA,[M+H],FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
HILICPos_73,3.828475380596428,7.488370025076761,4856611.260339646,1182919.2704089647,4528777.30399381,8858137.206616163,3,3,3,10.655,134.08121,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_74,0.9892668630300301,1.3614720839996353,1874603.6470590024,1678379.3157513377,1660365.0406678142,2285066.5847578556,3,3,3,9.184,135.03014,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_78,0.7659714777473745,0.09938195606818985,15288040.578222347,24587362.857478637,18833218.66185382,2443540.215334585,3,3,3,7.718,137.04605,68.95043:7337 94.04054:11805 110.03529:14182 116.51958:8000 119.03529:16016 137.04593:2009157 137.10706:7671,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_8,3.7551976445821618,4.563110070239784,9947264.010533571,3202490.510603505,12025984.822215008,14613316.698782202,3,3,3,7.066,86.09693,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_89,4940.887162711572,10603.239585136655,6458842647.239027,1246469.6014395123,6158665652.462696,13216615819.652946,3,3,3,5.766,139.05225,51.5406:14041 52.5068:13416 55.02442:14003 64.78721:13524 73.98441:15938 78.03455:14686 79.03786:37187 85.52947:12081 89.99308:13050 94.06123:32480 94.06184:23130 94.0656:166049 95.06273:37546 95.06901:911615 96.0414:16630 96.04489:450461 97.04195:63849 97.04826:1093771 107.0324:24757 111.06358:36435 114.68067:17770 124.03951:120309 125.03739:29495 125.04285:782365 138.63229:28337 138.93639:16749 139.05289:2420966 139.0583:41641180 139.1225:75931 139.17802:18300,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_9,1.3020044279927383,1.5486159827869477,3159368.339420245,2461448.807503095,3204817.246646475,3811838.9641111656,3,3,3,10.714,88.03983,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_90,3.8446578283674473,4.627717138488045,2816633.387431288,892057.1864881469,3429654.645383094,4128188.330422623,3,3,3,12.034,140.01076,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_91,1.0957036502459176,0.7009142464830035,1502082.7058887042,1611320.6323026358,1765529.8985305582,1129397.5868329187,3,3,3,9.867,140.0108,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_92,1.086852316908123,1.840756885221119,75539591.896639,57698911.482095025,62710195.62739168,106209668.5804303,3,3,3,4.746,141.04686,53.77457:6850 59.34272:9482 60.73433:7942 84.12716:7883 85.07664:9699 112.08717:19833 123.0239:11434 141.04706:2708402 141.11362:26766,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_93,2.1590859860003326,0.5472164763524484,9202609.588307422,7448887.144358063,16082787.84468153,4076153.775882671,3,3,3,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,[M+H],FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
HILICPos_95,0.721608832113016,0.02098107631918988,67226054.83206265,115734725.3764577,83515200.01382628,2428239.1059039407,3,3,3,10.263,142.0975,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_96,0.5244227339154479,0.11728118130263582,14508731.14809602,26512815.76465391,13903923.327096391,3109454.3525377563,3,3,3,9.536,142.63747,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
HILICPos_97,1.9648855305734743,0.7445375653834473,3507732.4839109387,2836882.496149483,5574149.3686212795,2112165.586962053,3,3,3,9.612,142.9214,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
HILICPos_98,0.468909342792516,0.14170309596485198,7521013.663643353,14008982.203277946,6568942.638131115,1985116.1495209984,3,3,3,9.556,142.95486,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Homarine,7922.0784414024865,16989.09088785566,81748430810.34373,9844397.29795038,77988087602.69359,167247360431.03967,3,3,3,5.474,138.05492,58.51296:7626 59.28382:8368 60.35322:8589 64.58856:9820 67.05493:36585 68.64355:9701 78.03449:84849 82.68173:9827 85.01418:8704 92.04998:22559 93.05785:38234 94.06568:1676143 96.04493:2466386 106.02911:21543 110.06056:43380 114.75317:9923 119.06052:15070 124.03958:800661 124.70473:8769 125.08816:9725 129.09007:8500 135.14133:10284 136.17903:9246 138.05504:12725008,[M+H],TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Hydroxyproline,0.7551980420572545,1.7950304834424484,618231.7174391473,522415.7090159117,394527.32058876887,937752.1227127614,3,3,3,10.611515151515151,132.066069,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Hypoxanthine,0.5778250795990455,0.831614308225877,145727529.40160254,181445771.33333334,104843917.26359355,150892899.60788068,3,3,3,6.5,137.04578,54.02885:6558 64.66826:7173 66.43812:6702 66.65882:8369 68.56494:9059 68.66737:7976 82.74854:9186 94.04059:36141 100.44202:6770 100.46313:7300 105.00483:7799 110.03547:50413 119.03539:36571 137.04591:5445454,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Inosine,0.770823202607393,0.04534157727950977,5196832.615905553,8584296.986910801,6616975.295583578,389225.565222279,3,3,2,7.668888888888889,267.072946,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
L-Alanine,0.8935347202652554,0.2776366586294596,99887372.31092785,138018638.16265553,123324445.24205992,38319033.528068095,3,3,3,10.64,90.055504,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
L-Arginine,0.9434509930687857,0.4777983982166141,60251445.25266256,74653332.45247748,70431760.63818409,35669242.667326115,3,3,3,18.943,175.11891,NA,[M+H],FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
L-Arginosuccinic acid,0.7019427695046285,0.14130287927340074,709671.0321094252,1155034.9231746155,810768.4128477555,163209.7603059044,3,3,3,13.131388888888887,291.13046,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
L-Aspartic acid,0.7038476910090904,0.33887929840204317,32548850.888059467,47802057.333333336,33645367.67955083,16199127.651294244,3,3,3,11.692564102564102,134.045334,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
L-Cystathionine,0.6406950128727024,NA,128490.41562787707,156629.2511646055,100351.58009114864,NA,3,3,0,12.431612903225806,223.075255,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
L-Cysteic acid,0.334593322936323,0.7193886082378391,186719.0532151038,272717.6666666667,91249.51031344049,196189.98266520427,3,3,3,12.147941176470589,167.996671,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
L-Cystine,0.386225081136222,0.8205298531880205,2382164.489763837,3238462.6666666665,1250775.5061899591,2657255.2964348854,3,3,3,11.824,241.03157,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
L-Glutamic acid,4.0487662884759885,1.9484358194675047,2650535172.0272818,1136397862.09046,4601009354.32804,2214198299.663346,3,3,3,11.406,148.06021,50.46403:6206 56.05021:6984 68.34272:8490 71.61841:6553 83.66648:6774 84.04497:687480 85.02908:11960 87.74522:7243 88.05194:8050 95.3434:7688 102.05537:270969 112.01446:7803 119.00541:6493 130.04999:278650 148.06039:90720,[M+H],TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
L-Glutamine,3.415454047761919,0.34711709018478026,1093633382.3242018,688892627.9402745,2352881114.571956,239126404.46037453,3,3,3,10.754102564102563,147.076968,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
L-Histidine,0.7529604503592332,0.22927259733405303,13232946.580979433,20027332.199478574,15079789.07241336,4591718.471046366,3,3,3,10.529,156.07709,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
L-Homoserine,4.177091282692796,2.8409723782264016,43959748.322108805,16447767.259459207,68703825.23924704,46727652.467620164,3,3,3,10.798,120.0659,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
L-Isoleucine,0.9148087413213798,0.8455896054024477,48229428.65853351,52415726.93568792,47950365.18348181,44322193.8564308,3,3,3,6.646,132.1019,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
L-Lysine,0.9255758272765456,0.8929667475088829,19575126.19911857,20835370.422540586,19284715.215456273,18605292.95935885,3,3,3,18.146,147.1127,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
L-Methionine,0.8284157897839199,0.6384803902053608,23076278.806176618,28063133.333333332,23247942.764144782,17917760.321051735,3,3,3,6.917368421052632,150.058876,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
L-Methionine S-oxide,NA,NA,NA,NA,NA,NA,0,0,0,9.1659375,166.053791,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
L-Ornithine,1.0090825960662002,0.39693454250062127,4211291.368426727,5250949.339789711,5298641.591607101,2084283.1738833683,3,3,3,16.058,133.09723,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
L-Proline,1.0977788715426646,0.4868200011170383,56073211.028569475,65085392.888297826,71449369.15882656,31684871.038584027,3,3,3,9.046,116.07073,58.96291:6606 63.37515:7710 70.06582:957041 76.86774:7114 83.69028:6332 93.15038:7850 98.09678:11419 107.40535:7137 116.07088:417364 116.10722:19239 116.1436:9630,[M+H],FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
L-Serine,0.831951992385768,0.5824418358272517,9239710.60246232,11480783.078336019,9551460.356170462,6686888.372880477,3,3,3,11.126153846153846,106.050419,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
L-Threonine,0.8017210648724657,0.38238835943337246,34679361.72607602,47634099.29028342,38189260.80724679,18214725.08069785,3,3,3,10.007,120.06568,NA,[M+H],FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
L-Tyrosine,1.1894975300551909,1.4637812833555046,10865393.158635257,8922445.052988997,10613226.352583569,13060508.070333207,3,3,3,9.097,182.0815,NA,[M+H],TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Malic acid,1.1160836754318217,0.9133026899498985,86761060.0190776,85919440,95893284.38624388,78470455.6709889,3,3,3,12.687560975609756,133.0137,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
N-Acetyl-D-glucosamine,1.0320925059885602,0.48187628773785257,1893631.630731792,2259731.6666666665,2332252.118711706,1088911.1068170038,3,3,3,8.307567567567567,222.097764,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
N-Acetyl-L-glutamic acid,0.931481435506202,0.06572725665841145,85837647.1411774,128936421.33333333,120101882.83260581,8474637.257593077,3,3,3,11.25,188.055899,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
N-Acetylmuramic acid,0.9964618814254882,0.2099623662870928,1533906.627326286,2085600.6666666667,2078221.5642089192,437897.65110327164,3,3,3,7.090588235294118,294.118894,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
N6-Methyladenine,0.9714208145397522,0.6676833602440899,267282.446023571,303833.1513140776,295149.84733370104,202864.33942293437,3,3,3,3.42325,150.07797,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NAD,0.9444841408387067,0.8422186694805709,6854025.151277059,7378639.508199061,6969007.996459927,6214427.949172188,3,3,3,11.105555555555556,662.101304,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NADH,0.9590380288306681,1.2819934568731195,1180862.259409375,1093043,1048269.80414716,1401273.9740809652,1,1,1,10.895,664.116954,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NADP,1.160891418736286,1.2976233967137285,99321.24419066957,86153.66666666667,100015.05232599974,111795.01357934233,3,3,1,13.618275862068966,742.067637,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NADPH,0.694636701757801,0.18783536207313917,295422.7327461309,470800.1862374443,327035.08855493675,88432.9234460117,3,3,1,14.064761904761903,744.083287,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ophthalmic acid,0.5524384047821447,6.405785331730058,14562007.62980355,5489418.78688078,3032565.757805554,35164038.34472431,3,3,3,10.672,290.13483,NA,[M+H],TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Orotic acid,0.7910844519551178,0.012783095851251754,6858995.899319809,11407150,9024019.006119821,145818.69183960644,3,3,3,6.555,155.00897,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Phosphoenolpyruvic acid,0.7889229253228865,0.6398057618450219,1365480.6522676218,1686661.0002369774,1330645.530334982,1079135.426230906,3,3,3,14.251470588235296,166.974553,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Pipecolic acid,0.8474627617646057,0.8425436723270605,45894946.47413517,51183832.75127649,43376392.26109445,43124614.41003457,3,3,3,9.00972972972973,130.086804,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Propionylglycine,1.005842771868098,1.0494920717782315,4196796.1791723715,4120788.450961192,4144865.2777968515,4324734.808759071,3,3,3,5.007352941176471,130.050419,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Succinic acid,1.1783654021533017,0.6796526961458387,128231917.4374428,134602280,158610669.8029513,91482802.50937709,3,3,3,12.111,117.01829,52.7692:7974 55.01768:8044 64.49689:6255 67.72324:7118 68.26531:7355 69.11419:7175 71.33129:6685 73.02837:645871 73.06421:6824 82.13746:7437 90.59139:7983 99.00766:44135 99.92476:72225 109.0501:7265 116.92744:298459 116.93332:82375 117.01833:105769,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Taurine,NA,NA,NA,NA,NA,NA,0,0,0,9.835652173913044,124.006841,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Thiamine diphosphate,0.9503680350996487,1.2385095218647229,1916605.4753153268,1803084.7291043296,1713594.0911170642,2233137.6057245866,3,3,3,12.327352941176471,425.044974,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Thymidine,0.8283995986854225,0.7620924999885764,7913105.694867889,9164018.333333334,7591469.109679188,6983829.6415911475,3,3,3,2.86,241.08298,NA,[M-H]-,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Thymine,0.8745666344534878,0.7953068959925355,46805546.92919695,52592993.333333336,45996077.175368056,41827570.27888945,3,3,3,2.855,125.03464,62.53186:7966 65.50072:6264 67.8708:7794 71.44009:7160 84.67958:6943 96.95904:51890 107.39845:6621 125.03465:40597,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UDP-N-acetylglucosamine,1.070921013835874,0.5779799282275545,4376114.925928476,4956147.876016373,5307642.908103967,2864553.99366509,3,3,3,12.20888888888889,606.073753,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
UDP-glucose,0.6749492070446855,0.4764797151916198,4507542.962752335,6285417.449069566,4242337.523194334,2994873.915993104,3,3,3,13.110833333333334,565.047204,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Uracil,0.702430118103696,1.2377743360513922,30237145.585634414,30852084.666666668,21671433.4761519,38187918.614084676,3,3,3,3.847,111.0189,51.02866:6327 51.27475:6419 65.68471:6201 65.70245:8088 72.22041:7082 77.01003:7452 83.72373:7088 111.01899:137502 111.05524:12877,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Uridine,0.6595464056354217,0.48839752999202685,121243652.74021438,169339130.4063025,111687014.79290476,82704813.02143587,3,3,3,5.944,243.06201,56.14906:7439 66.03379:52195 82.0287:91417 83.0126:8883 94.0288:7616 108.0445:11542 110.0237:526079 111.01892:25443 119.33343:7719 120.04469:8803 122.02376:31951 122.91525:7284 124.03954:14322 135.48599:6405 140.03453:31736 152.03458:43625 153.55736:7518 199.31995:7094 200.05621:16913 216.9599:16393,[M-H]-,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
cis-Aconitic acid,0.7833010271929811,0.7960035586051202,1565889.5096426483,1821292.6673312485,1426620.4171396114,1449755.444457085,3,3,3,14.534615384615384,173.008615,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
