mass_feature,fc_hNH4,fc_h,mean_overall,ave_control,ave_hNH4,ave_h,n_control,n_hNH4,n_h,RT,mz,MS2,add_annotation,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds
HILICPos_326,1.742929731472581,0.5375224223518439,1368038.7130816304,1251082.4565632578,2180548.8100678558,672484.8726137779,3,3,3,14.8,306.07581,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_327,4.898997203024766,15.660756187901072,27632376.500335623,3844994.32799157,18836616.458476793,60215518.7145385,3,3,3,10.638,307.04291,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_33,0.840577280007023,0.4043236003258656,123198346.26611148,164637575.77730045,138390605.63383335,66566857.38720064,3,3,3,8.264,112.05077,51.59501:6878 64.65118:7717 69.04552:51794 83.94164:6967 85.57964:7956 90.06509:6778 94.0406:21068 95.02456:188233 111.24319:6602 112.05096:2741754 112.07608:25018 112.09538:24570,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_331,1.0021968790276992,4.216009705610432,2177443.9383405196,1050517.0142078367,1052824.873004591,4428989.927809131,3,3,3,10.854,313.05054,NA,[M+H],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_333,1.0447680674537057,4.393556520152547,28215945.888428878,13147494.587059708,13736082.511580426,57764260.5666465,3,3,3,10.658,314.14474,50.15146:7659 57.07542:6356 57.51115:7705 62.7075:6787 68.72012:9072 71.50298:7182 76.13398:6709 84.10434:7438 124.71284:6942 137.73947:6869 147.73892:8770 164.89183:6248 216.41714:10676 216.42868:61373 216.44409:37453 219.47479:13352 230.81294:6715 269.36945:6607,[M+H],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_335,1.1639649114786708,1.357441810668857,3559064.7772487816,3032082.1121267313,3529237.1872376516,4115875.0323819625,3,3,3,11.435,317.08325,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
HILICPos_337,1.022982407719606,1.3806684733268377,2823024.63563901,2488232.254981814,2545417.8231668803,3435423.8287683357,3,3,3,12.129,318.06,NA,[M+H],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_340,1.1051732617905734,0.1908897766372251,36981342.37725226,48319242.666666664,53401135.025170244,9223649.439919876,3,3,3,3.685,321.16599,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_341,0.9985972817460668,1.1232323253175456,2294874.567377146,2205316.9354771744,2202223.4971560724,2477083.2694981904,3,3,3,9.221,322.16559,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_343,2.0340295288463555,0.4833786471113497,1991959.4877153684,1698943.7006465755,3455701.654962638,821233.1075368916,3,3,3,12.635,324.05966,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_344,1.4619059088350228,0.5872957609369318,4390533.334123,4319688.045872703,6314977.478585318,2536934.4779109773,3,3,3,12.182,325.0437,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_348,0.6549946442626526,0.970612084792979,2655115.9849670865,3033717.0707077696,1987068.4335217723,2944562.4506717175,3,3,3,11.88,335.06396,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_351,0.7650380317889061,1.010657594661892,2030823.0265406277,2194934.135271938,1679208.090754728,2218326.853595217,3,3,3,9.894,344.09109,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HILICPos_352,1.1280958062129118,0.5147691378494071,1496921.3471818415,1699203,1916863.7782043985,874697.2633411261,3,3,3,6.94,344.13916,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_353,0.8751099899914571,1.2562044670083403,50549730.09959375,48429882.20482995,42381473.731556185,60837834.36239512,3,3,3,10.394,346.19714,68.25227:7265 91.07076:7842 104.00304:6885 120.93548:9213 135.26123:6853 148.87355:7295 158.08145:63037 192.77345:6817 227.16032:10822 246.18144:32703 252.60605:8910 328.18677:33696,[M+H],TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HILICPos_355,2.8391121358368294,2.520096444959809,7929440.614877762,3740767.6666666665,10620458.879779352,9427095.298187267,3,3,3,11.036,348.07071,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_357,1.0822230654019525,1.1838924268040067,11985439.986896563,11008894.218986886,11914079.248357821,13033346.493344985,3,3,3,10.663,358.13437,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_358,1.0257886347150262,0.5716779647626118,911473.0748212377,1052725.4614221477,1079873.8138019708,601819.9492395947,3,3,3,11.38,359.14868,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_359,3.775849051383464,9.145059125711436,1680062.6858393268,362058.85373275966,1367079.579411825,3311049.624373396,3,3,3,12.785,360.9964,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_360,1.2858378130217563,4.64531461518374,8020336.912332984,3471430.0379667804,4463696.008077237,16125884.690954933,3,3,3,10.688,361.15363,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_361,5.095252501970549,24.991424780507376,5018309.7832705835,484288.7907578818,2467573.6727853892,12103066.88626848,3,3,3,10.615,364.09091,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_363,4.859440518522207,18.223910695058525,4677600.58083676,582676.4563644741,2831481.581246462,10618643.704899343,3,3,3,10.678,369.04654,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_364,1.024581793912593,4.983785218685112,2360093.6377437986,1010261.1493525414,1035095.180723825,5034924.5831550285,3,3,3,10.64,372.15039,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_365,1.1001505957146973,24.67244331124621,592591.2601810729,66402.74703008868,73053.02170224441,1638318.0118108855,3,3,3,10.022,373.1644,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_367,6.200242820559225,1.8233356471660755,1261720.073370627,419474.4062624702,2600843.1758372243,764842.6380121864,3,3,3,10.586,383.11606,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_368,0.9512693228938638,1.301098458369535,4544703.059695904,4192056.4019950633,3987774.655058731,5454278.122033917,3,3,3,4.881,386.04272,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_369,0.52345941886153,46.14021852917903,386587.2205092596,24332.18986566806,12736.913966711014,1122692.5576953997,3,3,3,9.756,389.091,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_370,1.0257350277851771,0.23455186518458376,2412686.736728247,3202275,3284685.636100778,751099.574083963,3,3,3,12.833,391.18283,NA,[M+H],FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_371,1.0353751437521064,0.8943865677839158,1946460.913054112,1993125.4873628789,2063632.5879943278,1782624.6638051297,3,3,3,11.342,398.04135,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_372,1.1196527465756267,1.1285140749321063,2399926.4506218536,2216566.989168238,2481785.317391085,2501427.0453062383,3,3,3,8.339,398.13959,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_373,1.863869173374887,6.143613665169166,899350.9305870654,299534.6025213524,558293.3119986485,1840224.8772411952,3,3,3,10.638,399.16061,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_374,1553.6672661915304,1801.9056590577593,4639856.359144484,4146.958635316901,6442993.8859421685,7472428.232855966,3,3,3,5.256,405.15179,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_375,6858.443160773856,18815.872250448938,1635070.7601355931,191.047790527344,1310290.4123232188,3594730.8202930335,1,3,3,5.335,410.13675,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_376,14.75283442723011,3572.922869689885,367026.59740807547,306.82064444023473,4526.474166282824,1096246.4974135032,3,3,3,9.843,412.05704,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_378,4.3634001951602,0.09156972082912769,643411.3498906107,353848.7066654628,1543983.515721265,32401.827285104322,3,3,3,10.743,415.15567,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
HILICPos_379,0.5350307514267834,0.5820979415682831,1275435.647570724,1807309.5676102522,966966.1960193281,1052031.1790825916,3,3,3,13.092,427.0961,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_380,1.6877827185079501,1.838576191137826,2465648.015210253,1634193,2758162.7041066624,3004588.341524097,3,3,3,12.734,428.03729,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_381,0.9276748250126372,1.244318730444843,4269953.516353767,4038425.780223189,3746345.9289950696,5025088.839843043,3,3,3,4.803,431.10077,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_383,1.828682150114998,2.6046192901054295,2503963.531532625,1382564.6666666667,2528271.3273130255,3601054.600618183,3,3,3,12.602,433.02252,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_384,3.7806852141651395,0.03750659315356737,551624.9662733191,343463.8895666722,1298528.848884366,12882.160368918969,3,3,3,10.82,437.13922,NA,[M+H],FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
HILICPos_386,19.31261740509759,20588.28499255467,6296336.2223623395,916.559633245413,17701.16552582523,18870390.941927947,3,3,3,4.272,452.85101,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_388,2.9336786606803797,39.673077139884036,488463.49769756675,33604.666666666664,98585.29349927726,1333200.5329267562,3,3,3,9.902,457.11517,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_389,0.6221247161337085,0.3498769931916467,3497286.6298929336,5320411.153836265,3309959.278795003,1861489.4570475323,3,3,3,4.729,479.19196,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_390,0.8590238185810154,0.6323883470283841,9843804.212713452,11853282.666666666,10182252.13904016,7495877.83243353,3,3,3,12.804,484.11707,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_391,0.4748676210700319,0.6554049930577756,1063787.8444991608,1498101,711399.6579926359,981862.8755048466,3,3,3,4.704,484.17746,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_393,0.5074778174229305,0.4883806936427067,446351.57979415124,670916.6666666666,340475.32567266776,327662.7470431193,3,3,3,11.666,488.2023,NA,[M+H],FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HILICPos_394,1.305869982222304,0.7259238508741899,802779.8425330227,794361.2462392712,1037332.5065045645,576645.7748552323,3,3,3,11.529,501.21399,NA,[M+H],FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
HILICPos_395,1.2388211521007708,3.0045259775417517,1818433.860383433,1040423.5016807341,1288898.6410248452,3125979.43844472,3,3,3,10.581,502.15753,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_396,1.1904926999557086,0.6719310729835684,6711405.3878696915,7033974.61757882,8373895.433901333,4726346.112128922,3,3,3,11.509,502.21771,NA,[M+H],FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_398,0.8557635356412082,1.0479922920733407,3314953.288643367,3424826.485413333,2930841.6221149666,3589191.7584018023,3,3,3,4.641,518.08496,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_400,0.017729709158921084,5.093566222337564e-4,832013.5493157874,2451330.6666666665,43461.379772344124,1248.6015083513555,3,3,1,9.508,535.13733,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
HILICPos_401,1.3726629460109696,2.5914103506021413,592391.953659781,358007.57861328823,491423.73755357,927744.544812485,3,3,3,11.524,546.18164,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_403,5.046328920166073,15.781136668728081,34623845.28155447,4758753.847149042,24014237.162819773,75098544.83469458,3,3,3,10.664,559.14832,50.36499:6817 57.5578:6423 79.51517:6651 79.77022:7279 81.98986:6383 83.58903:7812 87.497:6287 100.76665:7479 119.85477:7333 141.96634:6638 149.67766:9570 151.66759:6081 154.86897:7408 184.09758:7269 213.65947:8020 220.927:7040 227.1662:8108 227.17993:11614 291.06873:408519 317.38837:7791 388.48486:6838 397.0831:95415 398.29211:7841,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_404,0.8869624223536375,0.8970684348463094,4857728.803006027,5234563.536294687,4642861.154115958,4695761.718607437,3,3,3,4.597,563.14227,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_405,1.3496081233680333,3.107660668549104,892754.4458556203,490769.9143450084,662347.0631046572,1525146.3601171954,3,3,3,10.623,581.13049,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_406,0.7661316637833911,1.003554136310515,2515573.4636667436,2724756.862581438,2087522.50853473,2734441.0198840634,3,3,3,13.129,584.08923,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_407,0.7775038117852167,0.6976259390679231,818996.3731413987,992670.8361762889,771805.358975083,692512.9242728241,3,3,3,13.127,589.04565,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_409,0.8411038806206852,0.5304762955082412,1703113.6137996335,2154403.5883023595,1812077.2185442436,1142860.0345522976,3,3,3,15.449,598.06842,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_41,0.7956388521577173,0.5418360018205334,1625703.0218275604,2086486.2170312188,1660089.4987616169,1130533.3496898452,3,3,3,11.741,116.07092,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
HILICPos_410,1.0589554554454017,0.5904319263838758,1934726.9106358604,2190763.3333333335,2319920.7834230866,1293496.615151161,3,3,3,12.054,608.0899,NA,[M+H],FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_414,6.0843042059700005,21.801660163600623,1594328.5805764832,165581.65344716675,1007449.1505000637,3609954.937782219,3,3,3,10.673,637.12537,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_416,0.8101089355470958,0.007205536178143835,753242.5214789793,1243443.3333333333,1007324.5551797993,8959.675923805096,3,3,3,10.566,648.27258,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HILICPos_417,1.032402022885068,9.45258011998508,3115205.6980690043,813725,840091.336072152,7691800.758134861,3,3,3,2.306,654.26733,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_418,0.9767597552935365,0.5522866903456923,13676502.371523269,16223311.036978364,15846277.318529917,8959918.759061523,3,3,3,11.096,664.11786,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_43,0.9308293117730716,1.3013999689379208,5122476.828231909,4754437,4425569.320578427,6187424.164117301,3,3,3,4.72,119.03542,NA,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_44,62.32900497388927,139.05145026963942,244300996.4246168,3621411.9016183293,225719000.42847064,503562576.94376147,3,3,3,5.651,119.06073,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
HILICPos_48,1.4722831954046216,1.9859511813459092,5126765.44520053,3449862.6666666665,5079174.830587109,6851258.838347815,3,3,3,2.687,123.05561,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HILICPos_5,3.55368491088147,0.5390550946638034,11885037.101825604,7001164.651376949,24879933.18019499,3774013.4739048756,3,3,3,10.524,85.02907,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
