mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,RT,mz,dat_type,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,scaled_area,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds,row_id
HILICPos_130,211202_Smp_OBi1_6,3349142.2159934132,Particulate,1,OBi1_set2,Homarine,9.159,157.04184,nontargeted,65.26609:8600 71.24049:7707 74.93156:15292 94.71522:7247 113.02641:17376 113.10773:41646 115.96471:8539 119.35658:7608 131.03683:10847 138.97018:8144 139.01846:42038 157.02924:121045 157.04198:1688099,NA,NA,NA,NA,6240081.989202564,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,154
HILICPos_130,211202_Smp_OBi1_7,16508710.549981616,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.159,157.04184,nontargeted,65.26609:8600 71.24049:7707 74.93156:15292 94.71522:7247 113.02641:17376 113.10773:41646 115.96471:8539 119.35658:7608 131.03683:10847 138.97018:8144 139.01846:42038 157.02924:121045 157.04198:1688099,NA,NA,NA,NA,18938332.14226458,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,154
HILICPos_130,211202_Smp_OBi1_8,3115721.8438628735,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.159,157.04184,nontargeted,65.26609:8600 71.24049:7707 74.93156:15292 94.71522:7247 113.02641:17376 113.10773:41646 115.96471:8539 119.35658:7608 131.03683:10847 138.97018:8144 139.01846:42038 157.02924:121045 157.04198:1688099,NA,NA,NA,NA,3574269.1691962476,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,154
HILICPos_130,211202_Smp_OBi1_9,3717704.314036952,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.159,157.04184,nontargeted,65.26609:8600 71.24049:7707 74.93156:15292 94.71522:7247 113.02641:17376 113.10773:41646 115.96471:8539 119.35658:7608 131.03683:10847 138.97018:8144 139.01846:42038 157.02924:121045 157.04198:1688099,NA,NA,NA,NA,4264846.6633900795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,154
HILICPos_131,211202_Smp_OBi1_1,19824746,Particulate,1,OBi1_set2,Glucose + NH4,8.251,157.09724,nontargeted,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],HILICPos_131,45,156.089963545,19824746,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,155
HILICPos_131,211202_Smp_OBi1_2,17848170,Particulate,1,OBi1_set2,Glucose + NH4,8.251,157.09724,nontargeted,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],HILICPos_131,45,156.089963545,17848170,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,155
HILICPos_131,211202_Smp_OBi1_3,17345378,Particulate,1,OBi1_set2,Glucose + NH4,8.251,157.09724,nontargeted,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],HILICPos_131,45,156.089963545,17345378,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,155
HILICPos_131,211202_Smp_OBi1_4,9825956,Particulate,1,OBi1_set2,Homarine,8.251,157.09724,nontargeted,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],HILICPos_131,45,156.089963545,18307604.487350754,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,155
HILICPos_131,211202_Smp_OBi1_5,9615755,Particulate,1,OBi1_set2,Homarine,8.251,157.09724,nontargeted,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],HILICPos_131,45,156.089963545,17915960.48132777,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,155
HILICPos_131,211202_Smp_OBi1_6,9747395,Particulate,1,OBi1_set2,Homarine,8.251,157.09724,nontargeted,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],HILICPos_131,45,156.089963545,18161230.565451372,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,155
HILICPos_131,211202_Smp_OBi1_7,12962292,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,8.251,157.09724,nontargeted,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],HILICPos_131,45,156.089963545,14869979.728446592,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,155
HILICPos_131,211202_Smp_OBi1_8,13003669,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,8.251,157.09724,nontargeted,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],HILICPos_131,45,156.089963545,14917446.268409118,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,155
HILICPos_131,211202_Smp_OBi1_9,11407571,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,8.251,157.09724,nontargeted,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],HILICPos_131,45,156.089963545,13086447.174682936,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,155
HILICPos_132,211202_Smp_OBi1_1,1131072.6037579083,Particulate,1,OBi1_set2,Glucose + NH4,16.856,158.08141,nontargeted,NA,NA,NA,NA,NA,1131072.6037579083,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,156
HILICPos_132,211202_Smp_OBi1_2,1340681.9415549347,Particulate,1,OBi1_set2,Glucose + NH4,16.856,158.08141,nontargeted,NA,NA,NA,NA,NA,1340681.9415549347,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,156
HILICPos_132,211202_Smp_OBi1_3,1021168.7375346964,Particulate,1,OBi1_set2,Glucose + NH4,16.856,158.08141,nontargeted,NA,NA,NA,NA,NA,1021168.7375346964,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,156
HILICPos_132,211202_Smp_OBi1_4,4890173.269960114,Particulate,1,OBi1_set2,Homarine,16.856,158.08141,nontargeted,NA,NA,NA,NA,NA,9111312.741584076,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,156
HILICPos_132,211202_Smp_OBi1_5,4483100.460498288,Particulate,1,OBi1_set2,Homarine,16.856,158.08141,nontargeted,NA,NA,NA,NA,NA,8352859.518998731,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,156
HILICPos_132,211202_Smp_OBi1_6,4017886.377566942,Particulate,1,OBi1_set2,Homarine,16.856,158.08141,nontargeted,NA,NA,NA,NA,NA,7486078.166400299,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,156
HILICPos_132,211202_Smp_OBi1_7,3918684.524915664,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,16.856,158.08141,nontargeted,NA,NA,NA,NA,NA,4495405.553869122,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,156
HILICPos_132,211202_Smp_OBi1_8,4078727.053119376,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,16.856,158.08141,nontargeted,NA,NA,NA,NA,NA,4679001.876963721,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,156
HILICPos_132,211202_Smp_OBi1_9,2663116.2045443975,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,16.856,158.08141,nontargeted,NA,NA,NA,NA,NA,3055052.607677162,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,156
HILICPos_133,211202_Smp_OBi1_1,7106391.535373089,Particulate,1,OBi1_set2,Glucose + NH4,10.947,158.55629,nontargeted,NA,NA,NA,NA,NA,7106391.535373089,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,157
HILICPos_133,211202_Smp_OBi1_2,6566223.827313161,Particulate,1,OBi1_set2,Glucose + NH4,10.947,158.55629,nontargeted,NA,NA,NA,NA,NA,6566223.827313161,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,157
HILICPos_133,211202_Smp_OBi1_3,4578144.17458517,Particulate,1,OBi1_set2,Glucose + NH4,10.947,158.55629,nontargeted,NA,NA,NA,NA,NA,4578144.17458517,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,157
HILICPos_133,211202_Smp_OBi1_4,843402.4374236189,Particulate,1,OBi1_set2,Homarine,10.947,158.55629,nontargeted,NA,NA,NA,NA,NA,1571417.4018303368,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,157
HILICPos_133,211202_Smp_OBi1_5,924135.5014143572,Particulate,1,OBi1_set2,Homarine,10.947,158.55629,nontargeted,NA,NA,NA,NA,NA,1721838.2875532545,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,157
HILICPos_133,211202_Smp_OBi1_6,881741.5945256257,Particulate,1,OBi1_set2,Homarine,10.947,158.55629,nontargeted,NA,NA,NA,NA,NA,1642850.4638755918,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,157
HILICPos_133,211202_Smp_OBi1_7,4719686.746856929,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,10.947,158.55629,nontargeted,NA,NA,NA,NA,NA,5414292.954546971,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,157
HILICPos_133,211202_Smp_OBi1_8,4435351.153864426,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,10.947,158.55629,nontargeted,NA,NA,NA,NA,NA,5088111.095360775,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,157
HILICPos_133,211202_Smp_OBi1_9,4229248.474270483,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,10.947,158.55629,nontargeted,NA,NA,NA,NA,NA,4851675.85169087,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,157
HILICPos_134,211202_Smp_OBi1_1,3169746.3809310673,Particulate,1,OBi1_set2,Glucose + NH4,11.189,158.92982,nontargeted,NA,NA,NA,NA,NA,3169746.3809310673,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,158
HILICPos_134,211202_Smp_OBi1_2,2903240.493808421,Particulate,1,OBi1_set2,Glucose + NH4,11.189,158.92982,nontargeted,NA,NA,NA,NA,NA,2903240.493808421,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,158
HILICPos_134,211202_Smp_OBi1_3,3654409.7757928856,Particulate,1,OBi1_set2,Glucose + NH4,11.189,158.92982,nontargeted,NA,NA,NA,NA,NA,3654409.7757928856,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,158
HILICPos_134,211202_Smp_OBi1_4,582055.0433020903,Particulate,1,OBi1_set2,Homarine,11.189,158.92982,nontargeted,NA,NA,NA,NA,NA,1084478.0418966343,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,158
HILICPos_134,211202_Smp_OBi1_5,620687.9236127209,Particulate,1,OBi1_set2,Homarine,11.189,158.92982,nontargeted,NA,NA,NA,NA,NA,1156458.3655347808,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,158
HILICPos_134,211202_Smp_OBi1_6,441795.27139515866,Particulate,1,OBi1_set2,Homarine,11.189,158.92982,nontargeted,NA,NA,NA,NA,NA,823147.7011584777,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,158
HILICPos_134,211202_Smp_OBi1_7,2825629.2127076667,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.189,158.92982,nontargeted,NA,NA,NA,NA,NA,3241482.9964538296,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,158
HILICPos_134,211202_Smp_OBi1_8,2487906.957147414,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.189,158.92982,nontargeted,NA,NA,NA,NA,NA,2854057.447482535,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,158
HILICPos_134,211202_Smp_OBi1_9,1920829.7326004768,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.189,158.92982,nontargeted,NA,NA,NA,NA,NA,2203522.2771996325,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,158
HILICPos_135,211202_Smp_OBi1_1,2113315,Particulate,1,OBi1_set2,Glucose + NH4,11.069,158.97083,nontargeted,NA,NA,NA,NA,NA,2113315,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,159
HILICPos_135,211202_Smp_OBi1_2,1029598,Particulate,1,OBi1_set2,Glucose + NH4,11.069,158.97083,nontargeted,NA,NA,NA,NA,NA,1029598,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,159
HILICPos_135,211202_Smp_OBi1_3,3165187,Particulate,1,OBi1_set2,Glucose + NH4,11.069,158.97083,nontargeted,NA,NA,NA,NA,NA,3165187,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,159
HILICPos_135,211202_Smp_OBi1_4,310946,Particulate,1,OBi1_set2,Homarine,11.069,158.97083,nontargeted,NA,NA,NA,NA,NA,579350.893177597,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,159
HILICPos_135,211202_Smp_OBi1_5,576518,Particulate,1,OBi1_set2,Homarine,11.069,158.97083,nontargeted,NA,NA,NA,NA,NA,1074161.4885959679,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,159
HILICPos_135,211202_Smp_OBi1_6,235606,Particulate,1,OBi1_set2,Homarine,11.069,158.97083,nontargeted,NA,NA,NA,NA,NA,438978.3002129016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,159
HILICPos_135,211202_Smp_OBi1_7,1606462,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.069,158.97083,nontargeted,NA,NA,NA,NA,NA,1842888.3853657802,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,159
HILICPos_135,211202_Smp_OBi1_8,2265131,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.069,158.97083,nontargeted,NA,NA,NA,NA,NA,2598495.084995459,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,159
HILICPos_135,211202_Smp_OBi1_9,462037,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.069,158.97083,nontargeted,NA,NA,NA,NA,NA,530035.9553535962,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,159
HILICPos_142,211202_Smp_OBi1_1,2080510,Particulate,1,OBi1_set2,Glucose + NH4,11.037,159.17976,nontargeted,NA,NA,NA,NA,NA,2080510,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,160
HILICPos_142,211202_Smp_OBi1_2,907956,Particulate,1,OBi1_set2,Glucose + NH4,11.037,159.17976,nontargeted,NA,NA,NA,NA,NA,907956,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,160
HILICPos_142,211202_Smp_OBi1_3,2727180,Particulate,1,OBi1_set2,Glucose + NH4,11.037,159.17976,nontargeted,NA,NA,NA,NA,NA,2727180,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,160
HILICPos_142,211202_Smp_OBi1_4,145962,Particulate,1,OBi1_set2,Homarine,11.037,159.17976,nontargeted,NA,NA,NA,NA,NA,271954.6643789867,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,160
HILICPos_142,211202_Smp_OBi1_5,447228,Particulate,1,OBi1_set2,Homarine,11.037,159.17976,nontargeted,NA,NA,NA,NA,NA,833269.8965544832,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,160
HILICPos_142,211202_Smp_OBi1_6,216075,Particulate,1,OBi1_set2,Homarine,11.037,159.17976,nontargeted,NA,NA,NA,NA,NA,402588.3730401718,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,160
HILICPos_142,211202_Smp_OBi1_7,1520746,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.037,159.17976,nontargeted,NA,NA,NA,NA,NA,1744557.3816819002,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,160
HILICPos_142,211202_Smp_OBi1_8,2107449,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.037,159.17976,nontargeted,NA,NA,NA,NA,NA,2417606.6939963275,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,160
HILICPos_142,211202_Smp_OBi1_9,491128,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.037,159.17976,nontargeted,NA,NA,NA,NA,NA,563408.3389012157,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,160
HILICPos_143,211202_Smp_OBi1_1,2558338.768330748,Particulate,1,OBi1_set2,Glucose + NH4,11.125,159.22408,nontargeted,NA,NA,NA,NA,NA,2558338.768330748,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,161
HILICPos_143,211202_Smp_OBi1_2,2362590.9894732297,Particulate,1,OBi1_set2,Glucose + NH4,11.125,159.22408,nontargeted,NA,NA,NA,NA,NA,2362590.9894732297,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,161
HILICPos_143,211202_Smp_OBi1_3,3002448.7695754133,Particulate,1,OBi1_set2,Glucose + NH4,11.125,159.22408,nontargeted,NA,NA,NA,NA,NA,3002448.7695754133,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,161
HILICPos_143,211202_Smp_OBi1_4,564619.144733733,Particulate,1,OBi1_set2,Homarine,11.125,159.22408,nontargeted,NA,NA,NA,NA,NA,1051991.6828216447,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,161
HILICPos_143,211202_Smp_OBi1_5,763062.4592537144,Particulate,1,OBi1_set2,Homarine,11.125,159.22408,nontargeted,NA,NA,NA,NA,NA,1421728.9089389576,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,161
HILICPos_143,211202_Smp_OBi1_6,372312.7713173559,Particulate,1,OBi1_set2,Homarine,11.125,159.22408,nontargeted,NA,NA,NA,NA,NA,693688.7324620241,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,161
HILICPos_143,211202_Smp_OBi1_7,2123842.4750289135,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.125,159.22408,nontargeted,NA,NA,NA,NA,NA,2436412.831163947,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,161
HILICPos_143,211202_Smp_OBi1_8,2675370.650013622,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.125,159.22408,nontargeted,NA,NA,NA,NA,NA,3069110.565614749,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,161
HILICPos_143,211202_Smp_OBi1_9,1400019.885779145,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.125,159.22408,nontargeted,NA,NA,NA,NA,NA,1606063.7517622653,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,161
HILICPos_144,211202_Smp_OBi1_1,6562321.878638978,Particulate,1,OBi1_set2,Glucose + NH4,11.095,159.59868,nontargeted,NA,NA,NA,NA,NA,6562321.878638978,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,162
HILICPos_144,211202_Smp_OBi1_2,6277360.38663823,Particulate,1,OBi1_set2,Glucose + NH4,11.095,159.59868,nontargeted,NA,NA,NA,NA,NA,6277360.38663823,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,162
HILICPos_144,211202_Smp_OBi1_3,4514115.82909399,Particulate,1,OBi1_set2,Glucose + NH4,11.095,159.59868,nontargeted,NA,NA,NA,NA,NA,4514115.82909399,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,162
HILICPos_144,211202_Smp_OBi1_4,811895.5111859334,Particulate,1,OBi1_set2,Homarine,11.095,159.59868,nontargeted,NA,NA,NA,NA,NA,1512714.0711649358,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,162
HILICPos_144,211202_Smp_OBi1_5,891711.2525757959,Particulate,1,OBi1_set2,Homarine,11.095,159.59868,nontargeted,NA,NA,NA,NA,NA,1661425.8123156468,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,162
HILICPos_144,211202_Smp_OBi1_6,819521.1118083929,Particulate,1,OBi1_set2,Homarine,11.095,159.59868,nontargeted,NA,NA,NA,NA,NA,1526921.9996529613,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,162
HILICPos_144,211202_Smp_OBi1_7,4448158.325312379,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.095,159.59868,nontargeted,NA,NA,NA,NA,NA,5102803.125119849,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,162
HILICPos_144,211202_Smp_OBi1_8,4228549.952697689,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.095,159.59868,nontargeted,NA,NA,NA,NA,NA,4850874.527231636,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,162
HILICPos_144,211202_Smp_OBi1_9,4122402.399082411,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.095,159.59868,nontargeted,NA,NA,NA,NA,NA,4729105.015290123,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,162
HILICPos_146,211202_Smp_OBi1_1,53903697.71480168,Particulate,1,OBi1_set2,Glucose + NH4,10.826,161.09207,nontargeted,51.00978:6666 51.80576:8693 53.4291:6198 56.05024:35205 59.91939:6699 74.65627:7365 81.37035:7258 84.04494:25960 89.18747:7128 98.06049:175659 101.06754:12686 101.07138:266721 102.05542:18162 115.08669:36180 125.07123:24640 130.04997:8716 143.08148:67307 144.06558:891732,NA,NA,NA,NA,53903697.71480168,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,163
HILICPos_146,211202_Smp_OBi1_2,53889546.13893642,Particulate,1,OBi1_set2,Glucose + NH4,10.826,161.09207,nontargeted,51.00978:6666 51.80576:8693 53.4291:6198 56.05024:35205 59.91939:6699 74.65627:7365 81.37035:7258 84.04494:25960 89.18747:7128 98.06049:175659 101.06754:12686 101.07138:266721 102.05542:18162 115.08669:36180 125.07123:24640 130.04997:8716 143.08148:67307 144.06558:891732,NA,NA,NA,NA,53889546.13893642,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,163
HILICPos_146,211202_Smp_OBi1_3,47033516.97168615,Particulate,1,OBi1_set2,Glucose + NH4,10.826,161.09207,nontargeted,51.00978:6666 51.80576:8693 53.4291:6198 56.05024:35205 59.91939:6699 74.65627:7365 81.37035:7258 84.04494:25960 89.18747:7128 98.06049:175659 101.06754:12686 101.07138:266721 102.05542:18162 115.08669:36180 125.07123:24640 130.04997:8716 143.08148:67307 144.06558:891732,NA,NA,NA,NA,47033516.97168615,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,163
HILICPos_146,211202_Smp_OBi1_4,10169270.746545704,Particulate,1,OBi1_set2,Homarine,10.826,161.09207,nontargeted,51.00978:6666 51.80576:8693 53.4291:6198 56.05024:35205 59.91939:6699 74.65627:7365 81.37035:7258 84.04494:25960 89.18747:7128 98.06049:175659 101.06754:12686 101.07138:266721 102.05542:18162 115.08669:36180 125.07123:24640 130.04997:8716 143.08148:67307 144.06558:891732,NA,NA,NA,NA,18947264.44455327,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,163
HILICPos_146,211202_Smp_OBi1_5,13484405.81840034,Particulate,1,OBi1_set2,Homarine,10.826,161.09207,nontargeted,51.00978:6666 51.80576:8693 53.4291:6198 56.05024:35205 59.91939:6699 74.65627:7365 81.37035:7258 84.04494:25960 89.18747:7128 98.06049:175659 101.06754:12686 101.07138:266721 102.05542:18162 115.08669:36180 125.07123:24640 130.04997:8716 143.08148:67307 144.06558:891732,NA,NA,NA,NA,25123984.72679958,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,163
HILICPos_146,211202_Smp_OBi1_6,10558825.084869564,Particulate,1,OBi1_set2,Homarine,10.826,161.09207,nontargeted,51.00978:6666 51.80576:8693 53.4291:6198 56.05024:35205 59.91939:6699 74.65627:7365 81.37035:7258 84.04494:25960 89.18747:7128 98.06049:175659 101.06754:12686 101.07138:266721 102.05542:18162 115.08669:36180 125.07123:24640 130.04997:8716 143.08148:67307 144.06558:891732,NA,NA,NA,NA,19673077.459832888,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,163
HILICPos_146,211202_Smp_OBi1_7,37423789.74608155,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,10.826,161.09207,nontargeted,51.00978:6666 51.80576:8693 53.4291:6198 56.05024:35205 59.91939:6699 74.65627:7365 81.37035:7258 84.04494:25960 89.18747:7128 98.06049:175659 101.06754:12686 101.07138:266721 102.05542:18162 115.08669:36180 125.07123:24640 130.04997:8716 143.08148:67307 144.06558:891732,NA,NA,NA,NA,42931527.455629,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,163
HILICPos_146,211202_Smp_OBi1_8,38145553.14769889,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,10.826,161.09207,nontargeted,51.00978:6666 51.80576:8693 53.4291:6198 56.05024:35205 59.91939:6699 74.65627:7365 81.37035:7258 84.04494:25960 89.18747:7128 98.06049:175659 101.06754:12686 101.07138:266721 102.05542:18162 115.08669:36180 125.07123:24640 130.04997:8716 143.08148:67307 144.06558:891732,NA,NA,NA,NA,43759514.29243104,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,163
