mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,RT,mz,dat_type,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,scaled_area,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds,row_id
5-Hydroxyectoine,211202_Smp_OBi1_9,4915932626.707573,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.052926829268293,159.076968,targeted,NA,NA,NA,NA,NA,5639420752.560644,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
Adenine,211202_Smp_OBi1_1,738169536,Particulate,1,OBi1_set2,Glucose + NH4,4.814390243902439,136.06232,targeted,NA,NA,NA,NA,NA,738169536,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
Adenine,211202_Smp_OBi1_2,664260032,Particulate,1,OBi1_set2,Glucose + NH4,4.814390243902439,136.06232,targeted,NA,NA,NA,NA,NA,664260032,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
Adenine,211202_Smp_OBi1_3,722788992,Particulate,1,OBi1_set2,Glucose + NH4,4.814390243902439,136.06232,targeted,NA,NA,NA,NA,NA,722788992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
Adenine,211202_Smp_OBi1_4,713691968,Particulate,1,OBi1_set2,Homarine,4.814390243902439,136.06232,targeted,NA,NA,NA,NA,NA,1329742396.1539204,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
Adenine,211202_Smp_OBi1_5,144095008,Particulate,1,OBi1_set2,Homarine,4.814390243902439,136.06232,targeted,NA,NA,NA,NA,NA,268476107.06435513,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
Adenine,211202_Smp_OBi1_6,772798848,Particulate,1,OBi1_set2,Homarine,4.814390243902439,136.06232,targeted,NA,NA,NA,NA,NA,1439869632.783242,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
Adenine,211202_Smp_OBi1_7,843665984,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,4.814390243902439,136.06232,targeted,NA,NA,NA,NA,NA,967830078.1728992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
Adenine,211202_Smp_OBi1_8,670674304,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,4.814390243902439,136.06232,targeted,NA,NA,NA,NA,NA,769378849.424934,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
Adenine,211202_Smp_OBi1_9,249466160,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,4.814390243902439,136.06232,targeted,NA,NA,NA,NA,NA,286180618.53053564,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
