mass_feature,sample_fraction,med_pvalue_h,med_pvalue_hNH4,med_fc_h,med_fc_hNH4,med_pvalue_cmb,med_qvalue_h,med_qvalue_hNH4,med_qvalue_cmb,z,sample_set,dat_type,RT,mz,MS2,add_annotation,row_id,plot_label
Cytidine,Particulate,0.04960579683692124,0.3867269268047997,0.4427023491743052,0.8367267905120563,0.019183897362445804,0.17733846868422998,0.583886091636921,0.05060100463717589,1,OBi1_set2,targeted,8.241,244.09279,50.41173:5766 50.62591:6655 51.72615:6394 52.70021:6265 63.75482:6909 82.98863:7466 88.26562:6929 91.76866:6777 93.55441:6577 97.35606:7298 112.05087:810783 119.90562:8826 122.48324:6472 142.90726:7205 198.11234:12944,[M+H],246,Cytidine
Cytosine,Particulate,0.08322424611006746,0.4493679490037395,1.4850308685318487,1.1420105729480796,0.03739830878186346,0.2195190259714823,0.583886091636921,0.07164728629788579,1,OBi1_set2,targeted,6.985,112.05096,59.97786:6867 60.82067:6624 62.71338:7489 64.1662:7051 67.69991:6318 69.04357:7935 69.04539:39145 70.06585:17065 72.65062:6295 73.40738:6632 81.13174:7327 94.04038:12097 95.02447:135526 95.0608:20047 98.6118:6001 104.28425:6790 108.54111:7925 112.05088:1247958 112.06237:25338 112.07596:69405 112.09532:15547 112.22386:7831,NA,115,Cytosine
D-Fructose 6-phosphate,Particulate,0.09492017751751285,0.4666405065334044,1.7082214836144967,0.9100906397493911,0.044293599717012855,0.22730884616035973,0.583886091636921,0.07605127498581453,-1,OBi1_set2,targeted,12.743,259.02228,NA,NA,457,D-Fructose 6-phosphate
D-Gluconic acid,Particulate,0.03656740012724888,0.02082303391357368,0.04733809642798155,3.769554337509228,7.614442129809219e-4,0.1508129902595017,0.21103034860558897,0.006599183179167989,-1,OBi1_set2,targeted,10.577,195.05051,56.39953:7018 57.03347:12887 59.01268:36651 59.08528:6461 71.0127:32219 74.72832:7125 75.00765:457783 75.40747:6393 78.98044:7247 79.8719:6670 79.87492:6720 84.22321:6972 85.02858:39089 87.00766:104356 89.02333:42045 99.00768:175416 100.63615:6934 108.55801:8587 126.1656:7053 129.01843:343946 140.89452:7436 150.81255:7256 153.55524:7376 159.02925:20152 177.03995:21046 194.90529:11180 195.05066:281050,[M-H]-,415,D-Gluconic acid
D-Glucose 6-phosphate,Particulate,0.06813332880855455,0.5129028218272298,0.6036423482944636,0.9258431926716086,0.034945776606390117,0.19682961655804648,0.5870963117770807,0.06838850905766668,-1,OBi1_set2,targeted,13.406842105263156,259.021897,NA,NA,21,D-Glucose 6-phosphate
D-Ribose 5-phosphate,Particulate,0.3136091708616564,0.5032821553430468,1.0522969187516997,0.9165398010110904,0.15783389944660026,0.4259467843046378,0.5848016012927253,0.19279040066631709,-1,OBi1_set2,targeted,12.575,229.01167,NA,NA,439,D-Ribose 5-phosphate
Deoxyadenosine,Particulate,0.31626714409526063,0.2425741594489864,1.0827137596388503,1.0663943610066384,0.0767182366402393,0.42637496463212915,0.5716489131641864,0.11331899725134228,1,OBi1_set2,targeted,3.654,252.10919,NA,NA,253,Deoxyadenosine
Dihydroxyacetone phosphate,Particulate,0.011084387600770709,0.17914701994381407,0.15695912369388648,0.7796892213709993,0.0019857350065802357,0.10327030601972022,0.5715321805908565,0.012462199006813892,-1,OBi1_set2,targeted,12.261,168.99022,NA,NA,401,Dihydroxyacetone phosphate
Dimethylsulfoniopropionate,Particulate,0.46502902940887697,0.4266804686874891,0.16571558547839427,0.07126671642217064,0.19841880422146776,0.5224400206939236,0.583886091636921,0.2296311497779536,1,OBi1_set2,targeted,9.780625,135.047977,NA,NA,25,Dimethylsulfoniopropionate
Ectoine,Dissolved,0.07429905102300627,0.4382279425490861,0.4645621589308245,0.7656154241718026,0.03255992026316161,0.20182727292816627,0.583886091636921,0.06511984052632322,1,OBi1_set2,targeted,9.469,143.08163,52.28625:10499 52.85187:8474 56.05033:106730 57.27992:8508 61.80504:8563 62.52309:8699 65.6118:10495 68.04813:15577 68.05023:284233 70.1653:8709 73.07677:149115 73.21148:8537 80.6215:10052 84.04505:30951 87.5862:9726 93.63763:9279 96.82823:11349 97.07658:6955230 100.11255:12904 101.07147:944755 102.0554:36060 125.0711:51675 142.63762:25664 142.95662:13067 143.08163:14967626 143.15442:19496,[M+H],597,Ectoine
