mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
3-Phosphoglycerate,Adenine,Particulate,1.0531295452867828,0.27290233926568325,0.041002751464787913,0.1,0.8779401134239677,0.7
3-Phosphoglycerate,Adenosine,Particulate,1.0042192266064942,0.30600444997998416,0.0015310726318309034,0.1,0.9579170497551392,1
3-Phosphoglycerate,Adenosine monophosphate,Particulate,0.5902720109338258,2.9916087815999535,0.5702514393053355,0.7,0.533763895231709,0.7
3-Phosphoglycerate,Citrulline,Particulate,1.082264172281107,2.738090866403617,0.02182289289942433,0.1,0.6932479762911804,1
3-Phosphoglycerate,Cytosine,Particulate,0.7617309902376689,0.20720617031249844,0.030808218988031526,0.1,0.27411850996861825,0.4
3-Phosphoglycerate,Deoxyadenosine,Particulate,0.8273115151736778,0.26999334644980166,8.939844677018052e-4,0.1,0.09745571722256478,0.2
3-Phosphoglycerate,Guanosine,Particulate,0.9272307886687001,0.3014992700782601,0.00478483230196912,0.1,0.34138203566109565,0.2
3-Phosphoglycerate,L-Arginine,Particulate,0.8884251058326089,0.44149650800704143,0.0062077054536578205,0.1,0.4542337164771856,0.7
3-Phosphoglycerate,L-Glutamic acid,Particulate,0.20775095106341962,0.11217067336017975,0.005652910053138639,0.1,0.003821554726595377,0.1
3-Phosphoglycerate,L-Homoserine,Particulate,0.19972352176884356,0.0738706765114785,0.014813149373095606,0.1,0.014652601299098112,0.1
3-Phosphoglycerate,L-Lysine,Particulate,0.9050423461316979,0.23950243147536449,1.9712798210927823e-5,0.1,0.498354025857451,0.7
3-Phosphoglycerate,L-Proline,Particulate,0.7648421770099526,0.433277814960932,2.011776542973369e-4,0.1,0.16802528512087092,0.2
3-Phosphoglycerate,L-Serine,Particulate,0.992450275319678,0.35668096666687527,0.0014960370671868342,0.1,0.9516608972573641,0.7
3-Phosphoglycerate,L-Tyrosine,Particulate,0.702441631117435,0.14353826883056162,0.010171378418315865,0.1,0.09326389359247363,0.2
5-Hydroxyectoine,Adenine,Dissolved,2.433749146090057,2.7694648425347017,0.39140835592175455,0.1,0.4396933273837378,0.7
