mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
(3-Carboxypropyl)trimethylammonium,Adenine,Particulate,1.3130561090207546,2.1745763651523053,0.4508693692652441,1,0.5635819462903863,0.7
(3-Carboxypropyl)trimethylammonium,Adenosine,Particulate,1.1946014498572988,2.5505936429772658,0.11858812629927892,0.1,0.2868891146859619,0.4
(3-Carboxypropyl)trimethylammonium,Cytosine,Particulate,0.9082738018093545,1.7800154180453405,0.05857423152871939,0.1,0.6721051617860134,0.7
(3-Carboxypropyl)trimethylammonium,Deoxyadenosine,Particulate,0.9889124840120828,2.2508699690191496,0.09061205677418194,0.1,0.8685952661012681,0.7
(3-Carboxypropyl)trimethylammonium,Glutathione disulfide,Particulate,0.25840294198263536,21.08794064032455,0.428673639563815,0.7,0.012520571928633354,0.1
(3-Carboxypropyl)trimethylammonium,Guanosine,Particulate,1.1011640287551165,2.9968279168484755,0.1575858466705905,0.1,0.5378524889921491,0.7
(3-Carboxypropyl)trimethylammonium,L-Arginine,Particulate,1.0544033097835133,3.7597776823033136,0.005895515016251133,0.1,0.3673996105953993,0.7
(3-Carboxypropyl)trimethylammonium,L-Glutamic acid,Particulate,0.2506825924585921,0.9621902765356591,0.7938615448619867,1,0.004797494083203044,0.1
(3-Carboxypropyl)trimethylammonium,L-Homoserine,Particulate,0.23340059410411226,0.6377209318847104,0.037375592998505396,0.1,0.01019591963473903,0.1
(3-Carboxypropyl)trimethylammonium,L-Lysine,Particulate,1.07349046058198,2.0697038363395888,0.04038372763689631,0.1,0.3391392794025525,0.7
(3-Carboxypropyl)trimethylammonium,L-Proline,Particulate,0.906739896182929,3.8684556010322453,0.010215036853961777,0.1,0.27194526237018063,0.2
(3-Carboxypropyl)trimethylammonium,L-Serine,Particulate,1.1725912786186585,2.997854922724166,1.2544073277271947e-4,0.1,0.22174265356094564,0.4
(3-Carboxypropyl)trimethylammonium,L-Tyrosine,Particulate,0.8360925539162251,1.2167237995337443,0.0774082361668348,0.2,0.14146946701810845,0.1
2-Hydroxy-4-(methylthio)butyric acid,Adenine,Particulate,1.5819072709921729,2.6269893270556737,0.29991804683538625,0.1,0.4891931783832329,1
2-Hydroxy-4-(methylthio)butyric acid,Adenosine,Particulate,1.3825795114693809,3.688326705638165,0.13220644199682094,0.1,0.13560608845998057,0.4
2-Hydroxy-4-(methylthio)butyric acid,Cytosine,Particulate,1.0021551793184587,2.3969346517370633,0.024749931721545514,0.1,0.9939147147946872,0.7
2-Hydroxy-4-(methylthio)butyric acid,Deoxyadenosine,Particulate,1.1291893485557327,3.1323625720479273,0.07421101428668171,0.1,0.45931054949968225,0.4
2-Hydroxy-4-(methylthio)butyric acid,Glutathione disulfide,Particulate,0.2821063683227221,34.693615827551206,0.42214958047245915,0.7,0.009802544341430573,0.1
2-Hydroxy-4-(methylthio)butyric acid,Guanosine,Particulate,1.2928812622434722,4.387350428208301,0.17183937006767294,0.1,0.39350986859968523,0.7
2-Hydroxy-4-(methylthio)butyric acid,L-Arginine,Particulate,1.196859627948808,5.399366235048612,0.04112789023935286,0.1,0.22820001115288566,0.4
2-Hydroxy-4-(methylthio)butyric acid,L-Glutamic acid,Particulate,0.2819150276382935,1.3342651148344618,0.23824338134018544,0.4,0.03288304499179963,0.1
2-Hydroxy-4-(methylthio)butyric acid,L-Homoserine,Particulate,0.2608219475138596,0.896459721012713,0.6638630795655956,0.7,0.04568939914100841,0.1
2-Hydroxy-4-(methylthio)butyric acid,L-Lysine,Particulate,1.2280226343486367,2.9797873098193066,0.07617944337531869,0.1,0.18543373127645438,0.2
2-Hydroxy-4-(methylthio)butyric acid,L-Proline,Particulate,1.0291998150497599,5.621502794942404,0.05080659907222134,0.1,0.7833739991344528,1
2-Hydroxy-4-(methylthio)butyric acid,L-Serine,Particulate,1.3471540174596,4.332639891409088,0.035058586637595354,0.1,0.04766560928588499,0.1
2-Hydroxy-4-(methylthio)butyric acid,L-Tyrosine,Particulate,0.9365909519369534,1.7067685822513037,0.06062219549018867,0.2,0.7186098639737262,1
2-Ketoglutaric acid,Adenine,Particulate,1.3060752402186757,0.9644679150493195,0.9399363220104848,0.7,0.5166166716000153,0.7
2-Ketoglutaric acid,Adenosine,Particulate,1.196506432007813,1.5226417754676909,0.5727382013154921,0.7,0.5739170169879277,0.7
