core_metab,outlier_f_h
Adenine,0.01388888888888889
Adenosine monophosphate,0
Citrulline,0
Cytosine,0.013888888888888888
Guanosine,0.006944444444444445
L-Arginine,0
L-Glutamic acid,0.006944444444444445
L-Lysine,0
L-Proline,0
L-Serine,0
L-Tyrosine,0
