mass_feature,core_metab,sample_fraction,experiment_id,timepoint,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h
Adenosine,Citrulline,Particulate,NA,24,0.616027241880218,0.2710212077398078,0.4
Adenosine,Citrulline,Particulate,NA,48,0.7745507845172923,0.3378629598750507,0.4
Adenosine,Citrulline,Particulate,NA,96,0.49792558731000347,0.012162601332106133,0.1
Adenosine,Cytosine,Particulate,NA,0,0.8795274236435492,0.728390085862585,0.7
Adenosine,Cytosine,Particulate,NA,6,0.27695404417066133,0.12442428030707735,0.1
Adenosine,Cytosine,Particulate,NA,12,0.9481998321005444,0.8952844006783904,1
Adenosine,Cytosine,Particulate,NA,24,0.5324810318026778,0.25701221054270607,0.2
Adenosine,Cytosine,Particulate,NA,48,0.8278601775717312,0.7546798434165558,0.7
Adenosine,Cytosine,Particulate,NA,96,0.6697307565042909,0.3887412429832577,0.4
Adenosine,Guanosine,Particulate,NA,0,1.1145183612809264,0.6948827890770956,0.7
Adenosine,Guanosine,Particulate,NA,6,0.27673783136031643,0.005661952911137388,0.1
Adenosine,Guanosine,Particulate,NA,12,0.8172294338427418,0.43607138051307615,0.7
Adenosine,Guanosine,Particulate,NA,24,0.35305105779829843,0.06335759154049309,0.1
Adenosine,Guanosine,Particulate,NA,48,0.6025529357414091,0.034198856608820764,0.1
Adenosine,Guanosine,Particulate,NA,96,0.48453468504043123,0.06096295662399088,0.1
Adenosine,L-Arginine,Particulate,NA,0,0.5740757650745226,0.00596081952048443,0.1
Adenosine,L-Arginine,Particulate,NA,6,0.14057669490308966,2.6577521991674654e-4,0.1
Adenosine,L-Arginine,Particulate,NA,12,0.5128213982289241,0.09330789961133636,0.1
Adenosine,L-Arginine,Particulate,NA,24,0.3628924178243159,0.07543898353944048,0.1
Adenosine,L-Arginine,Particulate,NA,48,0.6206082589407912,0.1640001686175821,0.1
Adenosine,L-Arginine,Particulate,NA,96,0.2699226156944372,4.857600733819668e-4,0.1
Adenosine,L-Glutamic acid,Particulate,NA,0,0.565588040535338,0.01834219884145597,0.1
Adenosine,L-Glutamic acid,Particulate,NA,6,0.24089232821371934,0.004083564338761296,0.1
Adenosine,L-Glutamic acid,Particulate,NA,12,0.6186891321287028,0.02607017705457519,0.1
Adenosine,L-Glutamic acid,Particulate,NA,24,0.5447123054539025,0.16892609039187295,0.2
Adenosine,L-Glutamic acid,Particulate,NA,48,0.9866225074952376,0.9541792996043886,1
Adenosine,L-Glutamic acid,Particulate,NA,96,0.290644580666943,0.004847530388301787,0.1
Adenosine,L-Lysine,Particulate,NA,0,0.5587074634071644,0.019686504710850046,0.1
Adenosine,L-Lysine,Particulate,NA,6,0.12973445316604795,9.752523316839508e-4,0.1
Adenosine,L-Lysine,Particulate,NA,12,0.6289653677471002,0.11034741950604492,0.2
Adenosine,L-Lysine,Particulate,NA,24,0.46056845637084187,0.08388002052408507,0.1
Adenosine,L-Lysine,Particulate,NA,48,0.6869799681470756,0.23029232618468756,0.2
Adenosine,L-Lysine,Particulate,NA,96,0.337662961868859,0.0026649287884778147,0.1
Adenosine,L-Proline,Particulate,NA,0,0.4456327278513346,0.01898129443556757,0.1
Adenosine,L-Proline,Particulate,NA,6,0.13981703604921591,0.0018321716916373583,0.1
Adenosine,L-Proline,Particulate,NA,12,0.6120385304721118,0.03236835062468244,0.1
Adenosine,L-Proline,Particulate,NA,24,0.6191199158598443,0.2384621419996187,0.2
Adenosine,L-Proline,Particulate,NA,48,0.9571550136606651,0.8723718871001552,1
Adenosine,L-Proline,Particulate,NA,96,0.2625995395898042,0.004778365805597397,0.1
Adenosine,L-Serine,Particulate,NA,0,0.3124106669554032,0.04898928544997899,0.1
Adenosine,L-Serine,Particulate,NA,6,0.03994648723967568,0.03292973093429526,0.1
Adenosine,L-Serine,Particulate,NA,12,0.48139469328364376,0.09338554505777974,0.1
Adenosine,L-Serine,Particulate,NA,24,0.537480235088491,0.15480508122404665,0.2
Adenosine,L-Serine,Particulate,NA,48,0.5095431909521387,0.10673729972953606,0.2
Adenosine,L-Serine,Particulate,NA,96,0.23459424948939142,0.052913450318980336,0.1
Adenosine,L-Tyrosine,Particulate,NA,0,0.5352995668405873,0.006528617373698709,0.1
Adenosine,L-Tyrosine,Particulate,NA,6,0.2149339427655782,0.01619611506357133,0.1
Adenosine,L-Tyrosine,Particulate,NA,12,1.0578396488877284,0.7729546015462535,1
Adenosine,L-Tyrosine,Particulate,NA,24,0.7206494986078686,0.35648617953679995,0.7
Adenosine,L-Tyrosine,Particulate,NA,48,0.8080786895171974,0.41626193274192286,0.7
Adenosine,L-Tyrosine,Particulate,NA,96,0.6258423994485423,0.09992505524220785,0.1
Citrulline,Adenine,Particulate,NA,0,1.794660237280865,0.27672233621580966,0.4
Citrulline,Adenine,Particulate,NA,6,24.646494667037977,0.22634180431204431,0.1
Citrulline,Adenine,Particulate,NA,12,2.6854103674789087,0.02633223035664224,0.1
Citrulline,Adenine,Particulate,NA,24,1.5680379408417304,0.5304866579385089,0.7
Citrulline,Adenine,Particulate,NA,48,0.8862975729766777,0.7105391239046537,1
Citrulline,Adenine,Particulate,NA,96,0.41899274615588905,0.14007811280337676,0.1
Citrulline,Cytosine,Particulate,NA,0,2.3872315398394166,0.03926073613421907,0.1
Citrulline,Cytosine,Particulate,NA,6,7.2042395054358135,0.13257640352079827,0.1
Citrulline,Cytosine,Particulate,NA,12,2.3003284783543396,0.24791503185285194,0.2
Citrulline,Cytosine,Particulate,NA,24,1.2349418092953521,0.6795526533549248,1
Citrulline,Cytosine,Particulate,NA,48,0.9875023652901095,0.9735947985278326,1
Citrulline,Cytosine,Particulate,NA,96,1.4438730954162027,0.3035179014522479,0.2
Citrulline,Guanosine,Particulate,NA,0,3.077667492708827,0.21812830178666887,0.1
Citrulline,Guanosine,Particulate,NA,6,8.269808070422222,0.17489550051391256,0.1
Citrulline,Guanosine,Particulate,NA,12,1.8368974647496346,0.3053023010924089,0.2
Citrulline,Guanosine,Particulate,NA,24,0.6690596109235553,0.31557256698640235,0.4
Citrulline,Guanosine,Particulate,NA,48,0.8226547938411257,0.4308430455300702,0.4
Citrulline,Guanosine,Particulate,NA,96,1.0353232272487984,0.9370328603833207,1
Citrulline,L-Arginine,Particulate,NA,0,1.5154684495641615,0.23441007144101506,0.4
Citrulline,L-Arginine,Particulate,NA,6,4.094787441881003,0.2340764569245457,0.1
Citrulline,L-Arginine,Particulate,NA,12,1.0739385518776052,0.8228089012235594,0.7
Citrulline,L-Arginine,Particulate,NA,24,0.6160551659204957,0.1385322926865358,0.1
Citrulline,L-Arginine,Particulate,NA,48,0.7871409038432242,0.4087717537286289,0.4
Citrulline,L-Arginine,Particulate,NA,96,0.5542927068748249,0.04213671978736066,0.1
Citrulline,L-Glutamic acid,Particulate,NA,0,1.489942084291352,0.17576230698262188,0.1
Citrulline,L-Glutamic acid,Particulate,NA,6,5.4760189826054155,0.038677341458370686,0.1
Citrulline,L-Glutamic acid,Particulate,NA,12,1.355074822989002,0.0859509684715803,0.1
Citrulline,L-Glutamic acid,Particulate,NA,24,0.899551211258361,0.049221988991617956,0.1
Citrulline,L-Glutamic acid,Particulate,NA,48,1.3226660590325432,0.3530602919489963,0.4
Citrulline,L-Glutamic acid,Particulate,NA,96,0.6026955474016127,0.06491401583232492,0.1
Citrulline,L-Lysine,Particulate,NA,0,1.4548770233323005,0.11973750463271735,0.1
Citrulline,L-Lysine,Particulate,NA,6,2.9798435860875667,0.12026615298549763,0.1
Citrulline,L-Lysine,Particulate,NA,12,1.360297906115844,0.3391763905126592,0.7
Citrulline,L-Lysine,Particulate,NA,24,0.883530451581405,0.6925895147707868,0.7
Citrulline,L-Lysine,Particulate,NA,48,0.8706202217848598,0.44796049088422824,0.7
Citrulline,L-Lysine,Particulate,NA,96,0.7085220444375933,0.22653902832258896,0.2
Citrulline,L-Proline,Particulate,NA,0,1.156688833191797,0.334318942923344,0.4
Citrulline,L-Proline,Particulate,NA,6,3.1580858433561865,0.14730667683783022,0.1
Citrulline,L-Proline,Particulate,NA,12,1.3265005725944794,0.13289703836782008,0.1
Citrulline,L-Proline,Particulate,NA,24,1.0511015661268464,0.5257335612684981,0.7
Citrulline,L-Proline,Particulate,NA,48,1.2311120893634067,0.20833758256105228,0.2
Citrulline,L-Proline,Particulate,NA,96,0.5391715377044666,0.029803994461378186,0.1
Citrulline,L-Serine,Particulate,NA,0,0.7746434904764861,0.2436812731284943,0.2
Citrulline,L-Serine,Particulate,NA,6,0.6756041287709333,0.11990544032582488,0.2
Citrulline,L-Serine,Particulate,NA,12,1.0459970387380948,0.7634061326221402,0.7
Citrulline,L-Serine,Particulate,NA,24,0.989679683918647,0.9604142726610041,1
Citrulline,L-Serine,Particulate,NA,48,0.6529912286505613,0.10738468915444854,0.1
Citrulline,L-Serine,Particulate,NA,96,0.48904596652347837,0.044669137277016796,0.1
Citrulline,L-Tyrosine,Particulate,NA,0,1.3639149165796811,0.1481498627305017,0.2
Citrulline,L-Tyrosine,Particulate,NA,6,4.478736548532885,0.06411480558837926,0.1
Citrulline,L-Tyrosine,Particulate,NA,12,2.2705943786312113,0.06039694166452282,0.1
Citrulline,L-Tyrosine,Particulate,NA,24,1.398530538053524,0.392258335120056,0.7
Citrulline,L-Tyrosine,Particulate,NA,48,1.0539713063735165,0.8468608091011274,1
Citrulline,L-Tyrosine,Particulate,NA,96,1.3020675783003475,0.4840098294450743,0.7
Cytosine,Adenine,Particulate,NA,0,0.7337328198737062,0.29263833475622225,0.4
Cytosine,Adenine,Particulate,NA,6,3.0293689432755775,0.11464631463697235,0.1
Cytosine,Adenine,Particulate,NA,12,1.491820483445764,0.48000781904938244,0.7
Cytosine,Adenine,Particulate,NA,24,1.1941994256532398,0.24596923431095327,0.4
Cytosine,Adenine,Particulate,NA,48,1.0281485056123096,0.9353499295462339,0.7
Cytosine,Adenine,Particulate,NA,96,0.31836301885780355,0.002712230424624079,0.1
Cytosine,Citrulline,Particulate,NA,0,0.4015920823396094,0.07211711724301846,0.1
Cytosine,Citrulline,Particulate,NA,6,0.15572019466866843,0.039554490514096874,0.1
Cytosine,Citrulline,Particulate,NA,12,0.49778296010521933,0.10385817206140271,0.2
Cytosine,Citrulline,Particulate,NA,24,0.936436021230726,0.8545699577500103,1
Cytosine,Citrulline,Particulate,NA,48,1.0637042326621116,0.8498523500880568,1
Cytosine,Citrulline,Particulate,NA,96,0.6997949994044695,0.2913135905824487,0.2
Cytosine,Guanosine,Particulate,NA,0,1.0871256586784217,0.8216314027116913,1
Cytosine,Guanosine,Particulate,NA,6,0.9901396207073311,0.9755366857545531,1
Cytosine,Guanosine,Particulate,NA,12,0.7559340531590767,0.4719964244178886,0.7
Cytosine,Guanosine,Particulate,NA,24,0.5168188420836977,0.1978395219986958,0.2
Cytosine,Guanosine,Particulate,NA,48,0.9376107921518514,0.8976921003947872,1
Cytosine,Guanosine,Particulate,NA,96,0.5931560180630425,0.24895255215121723,0.4
Cytosine,L-Arginine,Particulate,NA,0,0.5654059438359318,0.19487396422473496,0.4
Cytosine,L-Arginine,Particulate,NA,6,0.4849451153536159,0.14778241436614203,0.1
Cytosine,L-Arginine,Particulate,NA,12,0.5291824970397059,0.23351475401021327,0.4
Cytosine,L-Arginine,Particulate,NA,24,0.5251144457426803,0.188864929016361,0.2
Cytosine,L-Arginine,Particulate,NA,48,0.8840773142332586,0.819395061190353,0.7
Cytosine,L-Arginine,Particulate,NA,96,0.3471013803676382,0.10248704505013068,0.1
Cytosine,L-Glutamic acid,Particulate,NA,0,0.5701583701400459,0.14498289503597278,0.1
Cytosine,L-Glutamic acid,Particulate,NA,6,0.815027368029142,0.5663388961397589,1
Cytosine,L-Glutamic acid,Particulate,NA,12,0.6418773444602861,0.20712470420471396,0.4
Cytosine,L-Glutamic acid,Particulate,NA,24,0.8303146580492193,0.5896852318247874,0.7
Cytosine,L-Glutamic acid,Particulate,NA,48,1.5274089565133544,0.4981428432695341,1
Cytosine,L-Glutamic acid,Particulate,NA,96,0.38606908941461027,0.07949591752752488,0.1
Cytosine,L-Lysine,Particulate,NA,0,0.5550120151092655,0.17144651800452007,0.2
Cytosine,L-Lysine,Particulate,NA,6,0.39682547084698655,0.1021209046056062,0.1
Cytosine,L-Lysine,Particulate,NA,12,0.6381296239983508,0.3083437108308002,0.2
Cytosine,L-Lysine,Particulate,NA,24,0.7038183502185795,0.32278903124624764,0.4
Cytosine,L-Lysine,Particulate,NA,48,0.9409197091617696,0.8908851987285517,1
Cytosine,L-Lysine,Particulate,NA,96,0.4344714714755666,0.1156814183486393,0.1
