mass_feature,retention_time,mz,z
Adenine,5.295846153846154,136.06232,1
Adenosine,5.093384615384616,268.10458,1
Citrulline,12.269384615384615,176.103517,1
Cytosine,7.6283076923076925,112.051087,1
Deoxyadenosine,3.8994366197183097,252.109665,1
Glutathione disulfide,14.815098039215686,613.159793,1
Guanosine,9.714461538461538,284.099495,1
Homarine,6.310923076923077,138.055503,1
L-Arginine,19.84646153846154,175.119501,1
L-Asparagine,11.358,133.061318,1
L-Glutamic acid,11.974461538461538,148.060984,1
L-Homoserine,11.410461538461538,120.066069,1
L-Lysine,19.001692307692306,147.113353,1
L-Phenylalanine,4.881694915254237,NA,1
"L-Phenylalanine, 2H8",5.011230769230769,NA,1
L-Proline,9.593384615384615,116.071154,1
L-Serine,11.641076923076923,106.050419,1
L-Tryptophan,7.659464285714286,NA,1
L-Tyrosine,9.67764705882353,182.081719,1
N-Methyl-L-glutamic acid,10.550151515151516,162.076634,1
homarine_D2,6.305365853658537,NA,1
homarine_D3,6.311860465116279,NA,1
n-methyl glutamic acid_D2,10.604482758620689,NA,1
n-methyl glutamic acid_D3,10.60530612244898,NA,1
n-methyl glutamine,10.024464285714286,NA,1
n-methyl glutamine_D3,10.0240625,NA,1
unknown_C6H11NO2_pos,10.77625,NA,1
unknown_C7H11NO3_pos,8.185633802816902,NA,1
unknown_C7H9NO5_pos,12.495,NA,1
unknown_C7H9NO5_pos_D3,12.438,NA,1
NA,10.411065573770491,NA,-1
